RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
43.07110237417,60.1260011092,464555108833416576,0.8983,0.1087,3.685,-2.012,3.087,31,1.343,,1.015,18.010582,19.032331,17.030083,2.002249,,41.32011308473,43.07112032667,60.12598738765,0.926175,3
43.06749026149,60.22047945303,464556753799127936,0.8583,0.1872,2.661,-2.198,1.499,95,,1.3837,0.996,18.916685,19.837547,17.977526,1.860022,,41.40791818134,43.06750993274,60.22047278926,0.8768549999999999,3
42.66842504707,60.02859439482,464559502577776896,0.8613,0.1172,3.769,-3.417,1.589,31,1.341,,0.973,17.994467,19.009096,17.012247,1.996849,,41.30830756627,42.66845544872,60.02858733204,0.889488,3
42.6077564228,60.03274388789,464559541230065920,0.9101,0.6456,3.226,-2.068,2.477,95,,1.4752,1.059,20.211891,20.97029,19.135662,1.834627,,41.32393659442,42.60777482052,60.03273288091,0.937131,3
42.7462252323,60.0520123685,464559743096022400,0.9361,0.1777,4.083,-2.9,2.874,31,1.339,,0.978,18.731085,19.811806,17.78031,2.031496,,41.31476041755,42.74625104853,60.05199959473,0.955117,3
42.59297339699,60.06629996282,464560400227369600,1.007,0.8084,3.206,-2.816,1.532,95,,1.3369,1.04,20.46263,21.131292,19.39224,1.739052,,41.35771398003,42.59299848212,60.06629315313,1.0502919999999998,3
42.64428475378,60.13759054194,464561224861009408,0.9301,0.7412,3.006,-2.63,1.456,95,,1.4086,1.048,20.366909,21.387806,19.338179,2.049627,,41.41337662643,42.64430822737,60.13758407139,0.966288,3
42.34195771202,60.11660883401,464563320810730240,0.971,0.1547,2.982,-2.717,1.227,95,,1.3082,1.006,18.562607,19.724337,17.447754,2.276583,,41.45297703717,42.34198195159,60.11660337938,1.001648,3
42.7893405312,60.09036944697,464565756051989760,1.0513,0.2389,3.894,-2.855,2.648,95,,1.2914,1.014,19.244396,20.331505,18.226667,2.104837,,41.34173367806,42.78936597777,60.0903576802,1.076491,3
42.86667101614,60.16661738678,464566443245252096,0.9889,0.4206,3.11,-1.628,2.65,95,,1.3989,1.102,20.011866,20.879381,19.029667,1.849714,,41.39701287655,42.86668555954,60.16660560973,1.014935,3
42.99354364185,60.25935143029,464568642268648576,1.0345,0.3656,3.287,-2.939,1.47,95,,1.2707,1.009,19.756317,20.96745,18.6687,2.29875,,41.45798299884,42.99356997739,60.25934489553,1.061869,3
42.83753778449,60.19994408757,464568955798086784,1.0615,0.3095,3.581,-2.639,2.42,95,,1.2761,1.072,19.50624,20.49917,18.229794,2.269377,,41.43334961895,42.83756138621,60.19993333233,1.0883360000000002,3
42.73332566531,60.415198095,464574380346169088,0.8044,0.1147,4.667,-3.194,3.403,95,,1.4057,1.009,18.111368,18.920115,17.231936,1.688179,,41.65168917454,42.73335441609,60.41518296977,0.830859,3
43.6655339181,60.28409770188,464606850302587904,0.8345,0.2436,4.173,-2.86,3.039,95,,1.2856,1.0,19.12172,20.353798,18.072144,2.281654,,41.35226242007,43.66555956522,60.28408419654,0.859772,3
43.98258584537,60.44079046487,464632967992141568,0.9137,0.5278,3.928,-3.231,2.232,95,,1.3088,1.024,20.085596,21.152946,19.117695,2.035252,,41.43705640853,43.98261495765,60.44078054329,0.94456,3
44.00503139296,60.44698375772,464633272935339008,0.8927,0.2343,2.741,-2.327,1.448,95,,1.3836,1.017,19.01044,19.882694,18.116743,1.765951,,41.43855437371,44.00505236131,60.44697732151,0.910312,3
43.43650525184,60.15083628808,464645543667015552,1.0662,0.0483,3.669,-2.938,2.198,95,,1.3948,1.065,16.549646,17.248062,15.66413,1.583932,,41.27287103734,43.43653148545,60.1508265198,1.099313,3
43.20737409285,60.23927159208,464650113510672000,0.9703,0.1122,3.614,-3.512,0.852,31,1.376,,1.025,18.038322,18.9152,17.135853,1.779346,,41.39836836467,43.20740554062,60.23926780536,0.996367,3
43.61672367241,60.26448111194,464653648260665856,0.8307,0.2137,3.547,-2.693,2.309,95,,1.3946,1.017,18.951042,19.845705,18.02309,1.822615,,41.34342577657,43.61674779922,60.26447085121,0.848219,3
43.66219819877,60.36878078056,464654683355699072,0.8398,0.524,3.098,-2.323,2.05,95,,1.275,1.022,20.106024,,,,,41.43110183689,43.66221907987,60.36877166848,0.871111,3
43.83318739464,60.46091085897,464656813659367936,0.8146,0.2404,4.901,-3.061,3.828,95,,1.3586,1.034,19.029768,20.076235,18.08647,1.989765,,41.48382280634,43.83321498733,60.46089384462,0.833832,3
43.17323652739,60.41905580785,464665128707699456,0.8585,0.7071,4.211,-1.617,3.888,95,,1.3659,1.044,20.332523,20.831112,19.196505,1.634607,,41.57067582056,43.17325108545,60.4190385295,0.8963270000000001,3
42.96828286386,60.44335153726,464667774409672192,0.869,0.7335,3.824,-2.538,2.861,95,,1.2477,1.067,20.523497,21.570406,19.406002,2.164404,,41.63236344766,42.96830572947,60.44333882217,0.913189,3
42.88482998072,60.48196099688,464668770848109312,0.9807,0.3057,3.323,-2.685,1.957,95,,1.283,1.064,19.523191,20.804184,18.140024,2.66416,,41.68395696976,42.88485420121,60.48195229716,1.00736,3
43.39918368647,60.58085783076,464673753001439616,1.042,0.4861,3.944,-3.648,1.498,95,,1.2979,1.049,20.058975,20.975687,19.015999,1.959688,,41.67674829573,43.39921669716,60.58085117356,1.072096,3
43.5004767423,60.59673935212,464674023586685184,0.8528,0.1739,4.612,-2.624,3.793,95,,1.3878,0.965,18.7042,19.650436,17.728188,1.922249,,41.67216368673,43.50050049967,60.59672249525,0.873741,3
43.37519765026,60.60484767338,464674612003785984,0.8221,0.0254,4.104,-2.112,3.519,31,1.427,,1.04,15.133675,15.799004,14.332661,1.466343,,41.70342690051,43.37521677336,60.60483203348,0.856152,3
43.36231347113,60.75950058381,464678872605567488,0.8707,1.6272,3.535,-2.796,2.164,95,,1.346,1.093,20.84981,21.420265,19.609385,1.810881,,41.84842693557,43.36233890706,60.75949096678,0.926978,3
44.10573772455,60.59354773107,464682785330884096,0.8409,0.8127,3.759,-3.204,1.965,95,,1.3844,1.031,20.430983,21.466406,19.142014,2.324392,,41.55510778469,44.10576672854,60.59353899567,0.880821,3
43.93117940305,60.65824018317,464683820416404352,0.8244,0.174,3.911,-3.663,1.369,95,,1.4171,1.39,18.019764,18.348812,16.683832,1.66498,,41.64763299756,43.93121262939,60.65823409755,0.850804,3
43.77719237155,60.69688222157,464687771786254080,0.9315,0.283,3.43,-3.184,1.274,95,,1.3505,1.006,19.247633,19.867096,18.15059,1.716505,,41.71227355848,43.77722128824,60.69687655717,0.952992,3
