Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb
NGC_1027,465674476088883456,40.62083063173,61.46085155861,1.3058,-2.396,1.654,18.156706,19.191208,17.058477,0.11
NGC_1027,465674446030574720,40.62033563985,61.44276120625,1.1822,-1.834,1.974,18.875824,20.079142,17.793722,0.51
NGC_1027,465674446020812928,40.61245550725,61.44922282585,1.0143,-2.048,2.134,20.204712,21.344828,19.02302,0.12
NGC_1027,465674377311102464,40.63654254599,61.43477438319,0.9085,-1.628,1.992,16.048529,16.734903,15.235831,1.0
NGC_1027,465674205512534784,40.68110733176,61.43056424404,0.8832,-1.803,1.911,15.540681,16.161154,14.772822,1.0
NGC_1027,465674166851197184,40.64876807236,61.42900217675,0.4846,-1.727,2.231,19.161798,20.325964,18.08517,0.3
NGC_1027,465673999345930496,40.6453899612,61.40420591679,0.8474,-2.306,2.281,20.111689,21.285807,18.885916,0.15
NGC_1027,465673960692692864,40.64888912395,61.38598351394,0.9612,-1.49,1.871,18.116726,19.18954,17.119562,0.93
NGC_1027,465673930634442240,40.3369029384,61.55210497904,0.8925,-1.797,2.006,15.003148,15.51054,14.321501,1.0
NGC_1027,465673685811497216,40.28737290341,61.50846129933,1.1451,-1.679,2.039,18.966951,20.151201,17.914803,0.55
NGC_1027,465671830385449344,40.32911329303,61.39303562772,1.0743,-2.282,2.416,20.014402,21.233667,18.62776,0.12
NGC_1027,465673380878675072,40.25353857991,61.50455742181,0.9066,-1.691,2.209,16.464146,17.217386,15.603636,1.0
NGC_1027,465450076935760000,37.98505744527,60.96848949042,0.7897,-1.968,1.755,16.019033,16.7451,15.181519,0.23
NGC_1027,465673067336594048,40.27898527856,61.46875513867,1.2915,-1.741,2.178,20.242947,21.250223,19.018671,0.08
NGC_1027,465952931703714816,38.90842739423,62.18812925764,0.8659,-1.567,2.544,20.196453,21.339737,18.945997,0.05
