Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,pmRA,pmDE,Plx,SimbadName,_RA_icrs,_DE_icrs,Source,RV,Gmag,BP-RP,Proba
NGC_1027,40.71599913796,61.562285017,135.79294298811,1.50470320382,-1.659,2.109,0.9103,Gaia DR2  465677469687441152,40.71601413801,61.56227593618,465677469687441152,,12.7021,0.6426,1.0
NGC_1027,40.40907677478,61.37009388467,135.73900438729,1.26906800461,-1.879,2.21,0.8887,Gaia DR2  465668776673798912,40.40909366279,61.3700843677,465668776673798912,,15.4813,1.3856,1.0
NGC_1027,40.6010423389,61.73276110018,135.67244863027,1.63712080471,-1.751,2.024,0.7578,Gaia DR2  465682658007798912,40.60105825734,61.7327523863,465682658007798912,,16.9338,1.5189,1.0
NGC_1027,40.46057996156,61.74472964754,135.60691701999,1.62051887909,-1.566,1.64,0.842,,40.46059420577,61.74472258703,465694649546343936,,17.7321,1.5545,0.4
NGC_1027,40.59129663138,61.35039147457,135.82670501689,1.28719419672,-1.738,1.908,0.9099,Gaia DR2  465667952040076032,40.59131223685,61.35038325881,465667952040076032,,13.5428,0.8615,1.0
NGC_1027,40.49148358547,61.57146526983,135.69181834745,1.46875331783,-1.679,2.11,0.8603,Gaia DR2  465679256393853056,40.49149877047,61.57145618712,465679256393853056,,15.0396,1.1528,1.0
NGC_1027,40.28799001491,61.59287140382,135.59471542469,1.44841242313,-1.866,1.898,0.8901,Gaia DR2  465691625899670400,40.28800690393,61.59286323337,465691625899670400,,10.6918,0.5293,1.0
NGC_1027,40.4815604991,61.66632052204,135.64834677802,1.5532003651,-1.787,1.802,0.8954,Gaia DR2  465682005172835328,40.48157670784,61.66631276138,465682005172835328,,12.2015,0.6431,1.0
NGC_1027,40.70303787959,61.52599894707,135.802421454,1.4691358234,-1.761,1.988,0.911,Gaia DR2  465677259227761920,40.70305378606,61.52599038684,465677259227761920,,17.4325,1.6771,1.0
NGC_1027,40.36407812125,61.57568499697,135.63479973247,1.44760939947,-2.067,2.079,0.9107,Gaia DR2  465679840509416832,40.36409681916,61.57567604627,465679840509416832,,17.2839,1.8131,0.9
NGC_1027,40.03374742407,61.36938648067,135.57515637646,1.1948421247,-1.85,2.166,0.8915,Gaia DR2  465659259025148544,40.0337640472,61.36937715609,465659259025148544,,14.6242,1.2387,1.0
