RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,aux,pert_class,BPmag-RPmag,min,max,std,avg,mode,median,Q1,Q3,excl
40.52219046943,61.72866743852,465694305959115264,0.9286,0.0846,2.854,-1.706,2.287,31,1.398,,1.013,17.420637,18.183825,16.57331,1.610514,,43.28472211647,40.52220647984,61.72865727305,0.959455,0.22416623886318057,1,1.6105149999999995,4.203895392974451e-45,0.950991153717041,0.2940399646759033,0.8256986141204834,0.9399999976158142,0.950991153717041,0.950991153717041,0.950991153717041,0.1411370187997818
40.54468957313,61.77625610661,465694546477250432,0.9628,0.0652,2.774,-1.686,2.204,31,1.407,,1.021,17.046154,17.778336,16.227764,1.550571,,43.32358615508,40.54470541371,61.77624631214,0.992956,0.2868295566464755,1,1.550571999999999,4.203895392974451e-45,0.9210221767425537,0.19541403651237488,0.8610575795173645,0.9200000166893005,0.9210221767425537,0.9210221767425537,0.9210221767425537,0.08504801243543625
40.46904142124,61.76710877798,465694683916216192,0.854,0.0155,3.046,-1.558,2.617,31,1.61,,1.108,11.923204,12.13894,11.55786,0.581079,-53.25,43.33014278402,40.46905606123,61.7670971448,0.898582,0.30073632397288286,1,0.58108,0.9135270118713379,0.9135270118713379,3.3306690738754696e-16,0.9135270118713379,0.8999999761581421,0.9135270118713379,0.9135270118713379,0.9135270118713379,0.0
40.52362367727,61.77418458995,465694748331683200,0.901,0.0894,2.732,-1.622,2.198,31,1.382,,0.999,17.604593,18.443653,16.716528,1.727125,,43.32584220167,40.52363892197,61.77417482272,0.931532,0.29016910008961944,1,1.727125000000001,0.0002187919890275225,0.9192491173744202,0.08620990067720413,0.9087054133415222,0.8999999761581421,0.9192491173744202,0.9192491173744202,0.9192491173744202,0.015393994748592377
40.50565913129,61.7843743736,465694821355155328,0.8964,0.0207,2.791,-1.773,2.155,31,1.497,,1.025,14.814943,15.274859,14.164726,1.110133,-62.38,43.33864131661,40.5056757989,61.78436479467,0.92922,0.31157403345317863,1,1.1101329999999994,2.0491706464954294e-23,0.9074848890304565,0.34566110372543335,0.463264524936676,0.8999999761581421,0.4462709426879883,0.11271687597036362,0.9074848890304565,0.696387767791748
40.45930218574,61.77688910565,465695435526822656,0.9625,0.0809,2.655,-1.842,1.912,31,1.401,,1.116,17.249964,17.985037,16.378658,1.606379,,43.3409529728,40.45931949754,61.77688060772,0.993071,0.3185887051047108,1,1.606378999999997,0.0015196817694231868,0.9034823179244995,0.22305552661418915,0.7870246767997742,0.8999999761581421,0.9034823179244995,0.7671865224838257,0.9034823179244995,0.2063709795475006
40.41260085603,61.81351745287,465695714708344832,0.9176,0.0784,2.688,-1.877,1.925,31,1.401,,1.034,17.405912,18.18097,16.550568,1.630402,,43.38344583961,40.41261851391,61.81350889901,0.94832,0.3898367389169337,1,1.6304020000000001,0.05023842304944992,0.8590117692947388,0.12523521482944489,0.8185697197914124,0.8399999737739563,0.8590117692947388,0.8590117692947388,0.8590117692947388,0.09541228413581848
40.12720162192,61.72334762197,465696333183724416,0.8537,0.0447,2.926,-1.996,2.139,31,1.409,,0.977,16.362547,17.079176,15.526817,1.552359,,43.35787845688,40.12722034528,61.72333811415,0.883131,0.4702140399892709,1,1.552359000000001,0.0,0.8016355037689209,0.3331852853298187,0.2199627310037613,0.0,0.00134837266523391,6.4166584372304936e-12,0.47589850425720215,0.7791495323181152
40.20190520426,61.73559043592,465696569401435136,0.9065,0.0911,2.844,-1.929,2.09,31,1.398,,1.016,17.559351,18.349651,16.687525,1.662127,,43.3542077621,40.2019233061,61.73558114493,0.93682,0.42528650661770856,1,1.6621260000000007,0.0,0.8345450162887573,0.2867816984653473,0.6855290532112122,0.8199999928474426,0.8345450162887573,0.7253751754760742,0.8345450162887573,0.26139307022094727
40.20087345595,61.72643995488,465696573701882368,0.8542,0.034,2.806,-1.9,2.065,31,1.461,,0.929,15.83064,16.38176,15.115932,1.265827,,43.34609836082,40.20089128225,61.72643077766,0.8868419999999999,0.4191389713366798,1,1.265827999999999,0.0,0.8388885259628296,0.24965830147266388,0.17357194423675537,0.0,0.04906153306365013,0.0007076768670231104,0.23753118515014648,0.9135802388191223
