RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
41.61969077817,61.98876147092,465759383303063808,0.9515,0.0343,2.298,-1.674,1.575,31,1.444,,0.964,15.750174,16.360004,14.993927,1.366077,,43.30843367237,41.61970661743,61.98875447015,0.984453
41.78509940171,62.12028211764,465767526560999040,1.0281,0.0314,2.49,-1.526,1.967,31,1.448,,1.078,15.380888,15.976901,14.62918,1.347721,,43.39682513514,41.78511390599,62.1202733736,1.061132
40.84511723002,61.83897187481,465778556039769856,0.9408,0.0538,2.783,-2.254,1.633,95,,1.4206,1.032,16.644726,17.326363,15.84057,1.485793,,43.32181989303,40.84513845573,61.83896461916,0.971297
40.87393097995,61.87541976902,465778998409417344,1.0158,0.1273,2.867,-1.643,2.35,31,1.358,,1.053,18.086191,19.022888,17.158619,1.864269,,43.34938252276,40.87394646649,61.87540932645,1.042065
41.38930650638,61.96385471615,465782713566439936,0.964,0.0662,2.613,-1.629,2.043,31,1.421,,1.028,16.738688,17.411337,15.918925,1.492412,,43.33003119202,41.38932191379,61.96384563808,0.993435
41.02989542207,61.92726982802,465784358528731008,1.037,0.1642,2.736,-1.774,2.083,31,1.306,,0.999,18.469168,19.664661,17.415882,2.248779,,43.36624711383,41.02991218037,61.92726056976,1.0606749999999998
40.64739361822,61.87177541441,465789310636096000,0.9833,0.0396,2.852,-1.552,2.392,31,1.425,,1.065,16.036766,16.704792,15.236662,1.46813,,43.39032880608,40.64740824475,61.8717647812,1.01346
40.76558941565,61.99379363271,465792329988201344,0.9854,0.0624,2.743,-2.084,1.784,31,1.422,,1.088,16.667645,17.34753,15.86438,1.483151,,43.47823688893,40.76560913765,61.99378570365,1.014726
40.39231632623,61.87460893633,465792776664493056,0.8847,0.0905,2.739,-1.458,2.319,31,1.362,,1.055,17.578274,18.483139,16.630777,1.852362,,43.44296379828,40.39233007121,61.87459862993,0.916612
40.82995926889,61.96954097705,465797174711250816,0.8363,0.05,2.345,-1.315,1.941,31,1.437,,0.974,16.42169,17.058884,15.64801,1.410873,,43.44362517345,40.82997170839,61.96953234945,0.865062
41.16559381862,62.22477576742,465824357570342272,0.9116,0.0661,2.432,-1.62,1.814,31,1.396,,1.017,17.059484,17.842627,16.19972,1.642906,,43.61091589362,41.16560927022,62.22476770622,0.942167
39.20924394052,61.61833645126,465867650836499200,0.805,0.0458,2.529,-1.666,1.903,31,1.411,,1.001,16.459356,17.176386,15.61771,1.558676,,43.44622290894,39.20925951491,61.61832799554,0.8344480000000001
39.51629532425,61.70784559929,465881016775502976,0.8861,0.1312,2.673,-2.041,1.726,31,1.363,,0.977,18.107975,19.104458,17.15893,1.945528,,43.46555578689,39.51631446133,61.70783792881,0.911908
39.59033820939,61.93480783216,465896719175859200,0.8702,0.0625,2.332,-1.707,1.59,31,1.414,,1.045,16.943947,17.659517,16.112885,1.546633,,43.6563887396,39.59035433409,61.93480076731,0.900003
39.25509733255,61.89104902696,465898471522558592,0.8574,0.0642,2.656,-1.807,1.947,31,1.42,,0.955,16.99153,17.669106,16.112978,1.556128,,43.68382442507,39.25511437983,61.8910403738,0.88707
38.53303272792,61.79385074903,465918155354119680,0.9251,0.1538,2.86,-1.963,2.079,31,1.346,,1.079,18.370346,19.461143,17.366201,2.094942,,43.74193758503,38.53305118956,61.79384150895,0.948473
38.442524624,61.91016328712,465920083798749312,0.8299,0.0305,2.543,-1.944,1.639,31,1.429,,1.032,15.653497,16.316977,14.856265,1.460711,,43.86528960942,38.44254297115,61.9101560021,0.863
38.95007120643,61.90158315005,465922660780883456,0.9577,0.0721,2.61,-1.807,1.884,95,,1.3963,1.046,17.188015,17.968311,16.331877,1.636435,,43.7547189841,38.95008825511,61.90157477738,0.991678
38.9256835083,61.94819147512,465924103888287232,0.8856,0.0492,2.588,-1.848,1.812,31,1.412,,1.014,16.637203,17.355324,15.814839,1.540484,,43.80174945985,38.92570097016,61.94818342338,0.915147
38.90801029556,61.97170634276,465924172607759104,0.8615,0.031,2.597,-1.825,1.847,31,1.432,,1.053,15.655247,16.300783,14.866881,1.433902,,43.82655493675,38.90802755902,61.97169813522,0.894549
38.91883349508,62.55611881431,465979934159829632,0.8259,0.0822,2.616,-1.787,1.91,31,1.384,,0.989,17.430868,18.26298,16.540613,1.722366,,44.35175180245,38.91885073245,62.55611032668,0.857368
40.53548679474,62.25026270417,465992307968003456,0.8556,0.0369,2.173,-1.561,1.511,31,1.442,,1.299,15.49913,16.115688,14.738516,1.377172,,43.75621079053,40.5355016972,62.25025598644,0.888555
40.21035662957,62.6423116064,466015878748329472,0.8509,0.0601,2.964,-2.047,2.144,31,1.39,,0.996,16.760485,17.562668,15.887145,1.675523,,44.17513797076,40.21037643019,62.64230207941,0.881371
40.92917525667,62.43001297902,466019207341152256,0.9167,0.0369,2.785,-2.045,1.891,31,1.425,,1.128,15.846997,16.483763,14.985683,1.498079,,43.84321273661,40.92919489138,62.43000457323,0.949817
40.799686052,62.53200471276,466023644050466560,0.9817,0.0642,2.63,-1.725,1.986,31,1.393,,0.998,17.08102,17.874979,16.217472,1.657507,,43.96086910877,40.79970266999,62.53199588672,1.012394
39.22665810634,62.61730718847,466071434144149120,0.907,0.0485,2.808,-1.993,1.979,31,1.414,,0.97,16.447214,17.155657,15.630446,1.525211,,44.345737475,39.22667736124,62.61729839359,0.936223
42.67282888626,62.16215917986,467252240914244480,0.9654,0.0409,2.769,-1.7,2.186,31,1.426,,1.007,16.238014,16.906803,15.442007,1.464796,,43.26714079843,42.67284506577,62.1621494657,0.994258
41.11488628905,62.9054286942,467535884855567872,0.9308,0.018,2.818,-1.936,2.048,31,1.433,,0.945,8.369972,9.017055,7.584709,1.432346,-43.63,44.2396156757,41.11490518121,62.90541959403,0.959092
40.78729017814,63.07606734862,467553236523330816,0.8373,0.0654,2.841,-1.898,2.113,31,1.412,,0.992,16.967535,17.682224,16.119755,1.562469,,44.45696683483,40.78730881122,63.07605795717,0.8671270000000001
