RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,aux,pert_class,BPmag-RPmag,min,max,std,avg,mode,median,Q1,Q3,excl
226.12787384705,-54.52502540095,5887641641582270848,1.2088,-7.75,-5.584,31,1.601,,0.966,10.978124,11.211643,10.589259,0.622384,-26.82,-35.50350918866,226.12793320118,-54.52500058133,1.2366050000000002,0.2753139213181808,1,0.6223840000000003,3.700477100210264e-05,0.9270036816596985,0.13856349885463715,0.8890438079833984,0.9200000166893005,0.9270036816596985,0.9270036816596985,0.9270036816596985,0.04907788336277008
226.12841539549,-54.51713866343,5887641641582281216,1.2121,-7.273,-5.741,31,1.521,,0.987,14.700233,15.102915,14.123307,0.979608,-25.02,-35.49598194571,226.1284710847,-54.51711314805,1.253238,0.2628352441365949,1,0.9796079999999989,3.0015779479907913e-28,0.933249831199646,0.33295440673828125,0.66518235206604,0.9200000166893005,0.8433535695075989,0.49553167819976807,0.933249831199646,0.31717726588249207
226.11548997411,-54.49031991743,5887641744661527040,1.1908,-7.396,-5.454,31,1.551,,1.056,13.872701,14.202254,13.350448,0.851807,,-35.47328855411,226.11554656366,-54.49029567757,1.231756,0.21642831203854695,1,0.8518059999999998,0.010583379305899143,0.9542388916015625,0.13532021641731262,0.851969301700592,0.9399999976158142,0.898728609085083,0.8145645260810852,0.936142086982727,0.025453437119722366
226.0297199309,-54.55550715425,5887641813381177600,1.2243,-7.489,-5.384,31,1.452,,1.012,16.072878,16.654684,15.354055,1.300629,,-35.55149132874,226.02977732828,-54.55548322318,1.257928,0.3165173297804276,1,1.300628999999999,2.328509632199262e-40,0.9046716690063477,0.30429375171661377,0.374257892370224,0.0,0.3206649124622345,0.07190930098295212,0.6472548842430115,0.6511202454566956
226.00370744719,-54.53791461416,5887641882100456064,1.1465,-7.43,-5.142,31,1.59,,1.092,12.671697,12.926311,12.2613,0.66501,-33.76,-35.54006616696,226.00376436387,-54.53789176131,1.174077,0.29016574102829584,1,0.6650109999999998,3.669529178296216e-05,0.9192509055137634,0.2754161059856415,0.7491075396537781,0.8999999761581421,0.9192509055137634,0.6130291223526001,0.9192509055137634,0.2153635174036026
225.96620238607,-54.53879625209,5887642053899155584,1.2263,-7.539,-5.52,31,1.565,,0.889,13.534014,13.840717,13.059862,0.780855,-27.74,-35.548286631,225.96626013742,-54.53877171822,1.267203,0.29948557139391085,1,0.780854999999999,0.000805951189249754,0.9142130613327026,0.1760646551847458,0.683790385723114,0.7799999713897705,0.7245432734489441,0.5890148878097534,0.8190626502037048,0.2174973338842392
226.07450791676,-54.5140984745,5887642363136803712,1.2264,-7.38,-5.496,31,1.607,,1.085,11.312433,11.536482,10.94234,0.594142,-17.72,-35.50372294309,226.07456442041,-54.51407404906,1.263431,0.24788022053908196,1,0.5941419999999997,0.30518049001693726,0.940405011177063,0.058678917586803436,0.9209307432174683,0.9399999976158142,0.940405011177063,0.940405011177063,0.940405011177063,0.00396281061694026
226.09850066214,-54.49924941749,5887642466216028032,1.1375,-7.474,-5.285,31,1.626,,0.876,11.821051,12.009278,11.497234,0.512044,-28.52,-35.48503199406,226.0985578662,-54.49922592838,1.183893,0.2268062022319276,1,0.5120439999999995,0.07550113648176193,0.949859619140625,0.08672530949115753,0.9174267053604126,0.9399999976158142,0.949859619140625,0.9206250905990601,0.949859619140625,0.009144947864115238
226.03511380735,-54.47232098451,5887642706734233216,1.1137,-7.397,-5.305,31,1.463,,1.007,15.94996,16.5001,15.246182,1.253917,,-35.4721764633,226.03517038145,-54.47229740799,1.152847,0.17787005225163507,1,1.2539180000000005,3.8675520045217127e-05,0.96885746717453,0.2896176278591156,0.744608461856842,0.9599999785423279,0.8755312561988831,0.6085175275802612,0.96885746717453,0.17543058097362518
226.04064946831,-54.46165844177,5887642805464232704,1.1836,-7.51,-5.32,31,1.611,,0.959,12.255468,12.467152,11.888307,0.578845,-28.35,-35.46105469058,226.04070689229,-54.46163479938,1.214667,0.15974647425632982,1,0.5788450000000012,0.16797032952308655,0.9748039245605469,0.10858816653490067,0.9209268689155579,0.9599999785423279,0.9748039245605469,0.908594012260437,0.9748039245605469,0.01219326350837946
226.03894319159,-54.46161793154,5887642809813457792,1.1621,-7.618,-5.411,31,1.607,,0.925,12.527144,12.746418,12.151095,0.595323,-38.58,-35.46135279133,226.03900143869,-54.46159388379,1.191795,0.15979166615312945,1,0.5953230000000005,5.887842839148727e-13,0.9747898578643799,0.2517422139644623,0.7308699488639832,0.9599999785423279,0.8321073651313782,0.6500669121742249,0.9151546955108643,0.13138240575790405
225.81695505722,-54.59083682245,5887642977264551552,1.2436,-7.681,-5.393,31,1.401,,0.984,16.85439,17.61158,16.038397,1.573183,,-35.62667756201,225.8170139784,-54.5908128554,1.274035,0.4379326940874919,1,1.5731830000000002,2.1246907705632174e-40,0.8254842758178711,0.34124982357025146,0.6111208200454712,0.8199999928474426,0.8254842758178711,0.31641140580177307,0.8254842758178711,0.2711476981639862
225.82707504012,-54.58319295937,5887642981611923200,1.1922,-7.566,-5.48,31,1.609,,0.977,11.662568,11.87855,11.299631,0.578918,-40.07,-35.61749209998,225.82713306165,-54.58316860465,1.234858,0.4219744039444548,1,0.5789190000000008,0.3939882218837738,0.8368902206420898,0.07211951911449432,0.7860450148582458,0.8199999928474426,0.8210188746452332,0.7562758922576904,0.8368902206420898,0.11156836152076721
225.79408105901,-54.60214487363,5887643153410609152,1.2143,-7.557,-5.289,31,1.577,,0.929,13.235726,13.513984,12.791417,0.722567,-18.94,-35.64182822418,225.79413904039,-54.60212136675,1.255153,0.4655947135729077,1,0.7225670000000015,2.0722401690435395e-40,0.8051083087921143,0.3133735656738281,0.3874727487564087,0.0,0.3863711357116699,0.04867921769618988,0.7059327960014343,0.6613321304321289
225.86915733755,-54.50307578229,5887643909325079552,1.1663,-7.521,-5.686,31,1.472,,1.034,15.05628,15.577311,14.37306,1.20425,,-35.53385099365,225.86921490652,-54.50305051307,1.2071029999999998,0.28856011612163174,1,1.2042509999999993,0.07313608378171921,0.920105516910553,0.1752069592475891,0.7733445763587952,0.9200000166893005,0.846220850944519,0.6711970567703247,0.920105516910553,0.14769090712070465
225.78133093788,-54.53515366272,5887644184202795520,1.1725,-7.416,-5.774,31,1.509,,1.032,14.68529,15.116384,14.077854,1.038529,-25.61,-35.58137863492,225.78138774712,-54.5351280012,1.213465,0.3844005186083951,1,1.0385299999999997,1.0926312632442148e-10,0.8626348972320557,0.2535344064235687,0.6086128950119019,0.8600000143051147,0.6787546873092651,0.45803695917129517,0.8626348972320557,0.44825485348701477
225.80573576467,-54.52012704325,5887644218562540416,1.2016,-7.226,-5.425,31,1.574,,0.992,13.255849,13.545331,12.801519,0.743812,-40.84,-35.56242346885,225.80579109523,-54.52010293127,1.242442,0.3499867097630077,1,0.7438119999999984,2.246508599564644e-18,0.8847141265869141,0.31746721267700195,0.44044381380081177,0.0,0.4697604775428772,0.11964636296033859,0.7552163004875183,0.643499493598938
225.75676719284,-54.53241767268,5887644287282015488,1.1655,-7.639,-5.621,31,1.536,,0.953,14.382556,14.75308,13.841325,0.911756,-31.61,-35.58366938174,225.75682570173,-54.53239268978,1.206587,0.39777512762215045,1,0.9117550000000012,3.407689291634597e-05,0.8466284275054932,0.24056695401668549,0.46185699105262756,0.4399999976158142,0.4977678656578064,0.2770291864871979,0.6716910600662231,0.6509678363800049
225.82225526259,-54.49726848285,5887644630879412608,1.1762,-7.591,-5.701,31,1.538,,1.04,14.282415,14.643878,13.746689,0.897189,-24.88,-35.53766479573,225.82231335343,-54.49724314628,1.217252,0.3115148486637447,1,0.8971890000000009,0.0013886992819607258,0.9075183272361755,0.22525985538959503,0.7226097583770752,0.8999999761581421,0.8201006650924683,0.6052049398422241,0.9075183272361755,0.2153635174036026
