Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx_x,e_Plx,RPlx,PM,pmRA_x,e_pmRA,pmDE_x,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag_x,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag_x,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag_x,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
NGC_5822,5881638239352487808,224.53211934266,-55.21222464138,0.9836,-7.944,-4.396,19.518612,19.998922,18.448492,0.05,Gaia DR3 5881638239352487808,224.53211934266,-55.21222464138,0.0,0.0,157.0,1636148068921376768,5881638239352487808,1121658033,0.2559,0.3356,0.9836,0.4592,2.142,9.08,-7.944,0.395,-4.396,0.534,-0.2908,0.2379,0.0303,-0.2101,-0.4153,-0.1351,0.5987,0.1336,-0.5002,-0.2217,256,0,256,0,-0.6157,254.26,0.0,0.0,95,false,,1.2741,0.0776,-0.096,0.167,-0.207,-0.036,0.17,29,16,0.807185,33,0.02996,93.8,0,0,0.971,0,282,293.42827,1.06,276.818,19.518612,0.004793,13,136.725,17.0254,8.03063,19.998922,0.135228,16,330.949,13.4651,24.5782,18.448492,0.044336,1.594,0,10,0,12,0,1.55043,0.48031,1.07012,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999989,,,,,,,,,,,,,,,,,,,,,,,224.532181229,-55.21220510258,6.322521,8.341901,-0.2134,0.0
NGC_5822,5881638200671638016,224.55198152941,-55.20500242235,0.9917,-7.456,-5.351,18.934198,19.977118,17.884617,0.31,Gaia DR3 5881638200671638016,224.55198152941,-55.20500242235,0.0,0.0,157.0,1636148068921376768,5881638200671638016,142651564,0.1614,0.2191,0.9917,0.2838,3.4944,9.177,-7.456,0.221,-5.351,0.34,-0.3186,0.1284,-0.116,-0.2102,-0.3849,-0.1913,0.5834,0.0738,-0.4855,-0.3088,294,0,292,2,1.2094,349.16,0.0,2.3767E-15,95,false,,1.2465,0.0522,-0.108,0.242,-0.348,-0.075,0.281,34,18,0.514471,38,0.02877,88.77,0,2,1.05,0,301,502.65238,1.07099,469.332,18.934198,0.003598,32,139.499,7.04147,19.811,19.977118,0.054876,31,556.303,9.71726,57.249,17.884617,0.019338,1.384,0,1,0,1,0,2.092501,1.042919,1.049582,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999993,3538.1,3522.9,3559.5,4.5261,4.4826,4.5784,-1.6342,-1.6711,-1.589,491.0987,464.8206,515.3352,0.5036,0.4601,0.5588,0.3474,0.3174,0.386,0.1891,0.1728,0.2097,PHOENIX,224.55203960149,-55.20497864205,3.565643,5.318548,-0.2971,0.0
NGC_5822,5899727095425562624,225.42242649879,-53.98387124873,1.2477,-7.714,-5.433,17.478111,18.408281,16.568153,1.0,Gaia DR3 5899727095425562624,225.42242649879,-53.98387124873,0.0,0.0,157.0,1636148068921376768,5899727095425562624,1022907707,0.0613,0.0849,1.2477,0.1045,11.9373,9.435,-7.714,0.085,-5.433,0.119,-0.3488,0.1993,0.126,-0.2959,-0.3606,-0.2716,0.6049,0.1216,-0.312,-0.3154,349,0,348,1,1.2609,394.19,0.083,0.14712,31,false,1.362,,,,,,,,40,19,0.183197,44,0.0106,71.19,0,0,1.048,0,379,1921.77528,1.78577,1076.16,17.478111,0.002934,42,591.703,7.0482,83.951,18.408281,0.013231,41,1870.24,8.09975,230.901,16.568153,0.006033,1.281,0,0,0,0,0,1.840128,0.93017,0.909958,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999956,4335.0,4310.8,4353.3,4.6737,4.6645,4.6807,0.0234,-0.0142,0.0885,805.9147,791.4373,826.254,0.8736,0.8267,0.9094,0.6338,0.5993,0.6607,0.3394,0.3214,0.3532,PHOENIX,225.42248480475,-53.98384710081,1.35854,1.848568,-0.3,0.0
NGC_5822,5881638170667305728,224.54705675325,-55.2233124239,1.1972,-7.911,-5.59,15.9089575,16.462141,15.190453,1.0,Gaia DR3 5881638170667305728,224.54705675325,-55.2233124239,0.0,0.0,152.0,1636148068921376768,5881638170667305728,372595344,0.0284,0.0383,1.1972,0.0451,26.5433,9.687,-7.911,0.038,-5.59,0.056,-0.4466,0.1307,0.0262,-0.3286,-0.2691,-0.2986,0.5262,0.0904,-0.3118,-0.4141,329,0,327,2,0.481,347.73,0.015,0.024691,31,false,1.462,,,,,,,,38,18,0.085888,43,0.01891,69.54,2,0,1.018,0,354,8153.87228,4.09324,1992.03,15.908957,0.002809,30,3552.71,12.7895,277.783,16.462141,0.004802,27,6652.38,15.7087,423.483,15.190453,0.004567,1.252,0,2,0,3,0,1.271688,0.553184,0.718505,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.99987,4866.9,4840.0,4899.2,4.519,4.5035,4.5396,-0.2913,-0.3294,-0.2517,819.8824,795.649,843.4309,0.3858,0.3611,0.4166,0.303,0.2833,0.3274,0.1615,0.1509,0.1745,MARCS,224.5471183969,-55.22328757937,0.612716,0.873517,-0.3957,0.0
NGC_5822,5881666105114267648,225.04939639062,-55.05854269528,1.3416,-7.133,-5.95,20.188099,21.078262,18.971807,0.07,Gaia DR3 5881666105114267648,225.04939639062,-55.05854269528,0.0,0.0,13.0,1636148068921376768,5881666105114267648,37840957,0.4013,0.427,1.3416,0.5654,2.3727,9.289,-7.133,0.538,-5.95,0.636,0.0312,0.173,-0.1534,-0.1177,-0.1031,-0.1305,0.4749,-0.2681,-0.0922,-0.0251,299,0,297,2,-0.1687,301.15,0.0,0.0,95,false,,1.4364,0.1167,-0.081,0.012,0.002,-0.023,-0.161,34,17,0.9106,37,0.03893,156.3,1,2,0.992,0,318,158.38255,0.882736,179.422,20.188099,0.006649,12,50.5955,7.1161,7.11001,21.078262,0.152731,12,204.378,12.8211,15.9408,18.971807,0.068215,1.61,0,5,0,5,0,2.106455,0.890163,1.216291,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999992,,,,,,,,,,,,,,,,,,,,,,,225.04945174214,-55.0585162522,8.677584,9.987484,-0.0142,0.0
NGC_5822,5881637895754897920,224.58125838342,-55.24471458545,0.9118,-7.425,-4.472,19.492401,20.339834,18.289186,0.1,Gaia DR3 5881637895754897920,224.58125838342,-55.24471458545,0.0,0.0,163.0,1636148068921376768,5881637895754897920,702652730,0.2532,0.3546,0.9118,0.4776,1.9094,8.668,-7.425,0.354,-4.472,0.545,-0.2271,0.1176,-0.1859,-0.1578,-0.4068,-0.178,0.6107,0.0289,-0.5148,-0.2596,252,0,250,2,1.0052,278.24,0.567,0.54697,95,false,,1.4208,0.0761,0.036,0.228,-0.282,-0.209,0.251,29,17,0.824247,34,0.04963,85.16,0,0,1.044,0,267,300.59808,1.0743,279.808,19.492401,0.004759,7,99.881,11.7482,8.50179,20.339834,0.127737,7,383.251,14.0893,27.2016,18.289186,0.040093,1.607,0,0,0,1,0,2.050648,0.847433,1.203215,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,224.58131627064,-55.24469470886,5.718473,8.502344,-0.2495,0.0
NGC_5822,5899728160577529472,225.34824538551,-53.93324925162,0.7534,-7.176,-5.186,19.72616,20.657562,18.72839,0.07,Gaia DR3 5899728160577529472,225.34824538551,-53.93324925162,0.0,0.0,162.0,1636148068921376768,5899728160577529472,208501937,0.2776,0.3098,0.7534,0.4212,1.7886,8.854,-7.176,0.361,-5.186,0.408,-0.0819,-0.0561,0.1738,0.0322,-0.0787,0.0479,0.4773,-0.1154,-0.0249,-0.0516,327,0,326,1,2.0125,388.54,1.266,2.3553,95,false,,1.4485,0.0788,0.013,0.15,-0.097,0.017,0.126,38,18,0.588826,42,0.02664,74.19,0,0,1.08,0,356,242.37195,0.87947,275.589,19.72616,0.004808,39,74.5405,5.10922,14.5894,20.657562,0.074472,40,255.742,4.62683,55.2737,18.72839,0.020003,1.363,0,1,0,1,0,1.929173,0.931402,0.99777,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999997,,,,,,,,,,,,,,,,,,,,,,,225.34829955995,-53.93322620215,5.734054,6.381891,-0.0572,0.0
NGC_5822,5899728053166777216,225.31357324812,-53.93447100586,0.9733,-7.008,-5.32,18.561436,19.22974,17.42889,0.37,Gaia DR3 5899728053166777216,225.31357324812,-53.93447100586,0.0,0.0,156.0,1636148068921376768,5899728053166777216,205796466,0.1334,0.1704,0.9733,0.2348,4.1452,8.798,-7.008,0.181,-5.32,0.237,-0.2688,0.1059,-0.0605,-0.1658,-0.274,-0.1385,0.5108,-0.0584,-0.2315,-0.2697,389,0,386,3,10.2163,763.92,0.94,5.0208,95,false,,1.4495,0.0382,0.002,0.219,-0.123,0.03,0.167,45,19,0.356039,49,0.01937,75.08,28,0,1.392,0,402,708.55266,1.64419,430.944,18.561436,0.003734,44,277.665,4.7809,58.0779,19.22974,0.018902,45,846.451,7.18216,117.855,17.42889,0.009958,1.586,0,1,0,2,0,1.80085,0.668304,1.132545,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999993,,,,,,,,,,,,,,,,,,,,,,,225.31362615163,-53.93444736038,2.899779,3.702509,-0.2612,0.0
NGC_5822,5899782448940824064,225.40138437455,-53.37244633855,0.8862,-7.26,-4.771,19.848814,20.432253,18.59716,0.08,Gaia DR3 5899782448940824064,225.40138437455,-53.37244633855,0.0,0.0,143.0,1636148068921376768,5899782448940824064,745047031,0.3562,0.3756,0.8862,0.5713,1.5512,8.688,-7.26,0.565,-4.771,0.618,-0.1859,0.0505,-0.013,0.1609,-0.2158,0.1583,0.2996,-0.4255,-0.0543,-0.2974,244,0,242,2,-0.7649,233.17,0.0,0.0,95,false,,1.2891,0.1007,-0.164,-0.086,-0.003,-0.189,-0.083,28,17,0.942279,32,0.04097,126.0,0,0,0.964,0,267,216.48158,1.00544,215.31,19.848814,0.005746,14,91.7308,10.8343,8.46674,20.432253,0.128266,14,288.599,12.7511,22.6332,18.59716,0.04812,1.757,0,14,0,14,0,1.835093,0.583439,1.251654,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999994,,,,,,,,,,,,,,,,,,,,,,,225.40143845716,-53.37242513221,9.058748,9.779283,-0.313,0.0
NGC_5822,5899727920059348352,225.28423494891,-53.95663370529,1.2073,-7.726,-5.41,10.618663,11.172698,9.912421,1.0,Gaia DR3 5899727920059348352,225.28423494891,-53.95663370529,0.0,0.0,149.0,1636148068921376768,5899727920059348352,22518514,0.0095,0.0112,1.2073,0.0153,78.8211,9.432,-7.726,0.012,-5.41,0.014,-0.3286,0.1052,-0.0977,-0.0757,-0.111,-0.0527,0.3251,-0.079,0.0295,-0.2834,380,380,376,4,-1.7737,580.28,0.072,6.3361,31,false,1.462,,,,,,,,43,19,0.021678,48,0.01032,77.87,0,0,0.935,0,397,1065324.168,117.589,9059.73,10.618663,0.002758,47,463807.0,157.424,2946.22,11.172698,0.002814,43,859389.0,143.305,5996.91,9.912421,0.003784,1.242,0,27,0,24,0,1.260277,0.554035,0.706242,-24.84,1.82,1,10,4,9,61.413,14.622,0.0,877.751,15.25,5000.0,3.0,0.5,444,,,,9.648466,0.007192,6,,NOT_AVAILABLE,0.0,0.0,0.999992,5039.8,5016.5,5063.9,2.7599,2.7,2.8327,-0.2108,-0.2361,-0.1808,866.6891,809.2749,913.8473,0.537,0.517,0.5573,0.4238,0.4077,0.4401,0.2251,0.2167,0.2338,MARCS,225.28429330964,-53.95660966145,0.196869,0.228525,-0.2805,0.0
NGC_5822,5899782208422622976,225.44424571124,-53.37359847422,1.469,-7.624,-4.883,19.76149,20.389093,18.549,0.12,Gaia DR3 5899782208422622976,225.44424571124,-53.37359847422,0.001,0.0,148.0,1636148068921376768,5899782208422622976,1252405101,0.3926,0.4705,1.469,0.5949,2.4696,9.054,-7.624,0.616,-4.883,0.799,-0.3596,-0.0195,0.1923,-0.1701,-0.09,-0.242,0.5789,-0.2918,-0.0318,-0.5414,231,0,230,1,5.4443,373.82,1.422,1.9496,95,false,,1.5788,0.0996,-0.211,0.017,-0.061,-0.22,0.085,27,17,1.270555,29,0.02207,152.8,24,0,1.266,0,244,234.61251,1.21634,192.884,19.76149,0.006267,27,95.4508,5.00143,19.0847,20.389093,0.056959,27,301.688,6.53981,46.1311,18.549,0.023837,1.693,0,27,0,27,0,1.840094,0.627604,1.21249,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999997,,,,,,,,,,,,,,,,,,,,,,,225.44430250813,-53.37357676984,9.794315,12.511927,-0.5412,0.0
NGC_5822,5881594911704535808,224.95997076344,-55.17750258318,1.4941,-7.753,-5.076,18.532745,19.06609,17.514153,0.17,Gaia DR3 5881594911704535808,224.95997076344,-55.17750258318,0.0,0.0,151.0,1636148068921376768,5881594911704535808,538604763,0.2266,0.266,1.4941,0.3527,4.236,9.267,-7.753,0.307,-5.076,0.382,-0.2568,-0.1109,-0.0439,-0.0591,-0.0842,-0.0985,0.3776,-0.0417,-0.1944,-0.2967,334,0,333,1,20.2712,1213.3,2.411,32.643,95,false,,1.4387,0.0575,0.04,0.061,-0.16,-0.029,0.04,38,19,0.570087,42,0.01215,107.0,7,0,1.888,0,344,727.52575,1.83578,396.303,18.532745,0.003886,39,322.836,5.56087,58.0548,19.06609,0.018909,39,782.523,6.06785,128.962,17.514153,0.009228,1.519,0,39,0,39,0,1.551937,0.533344,1.018593,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999992,4218.4,4167.4,4342.1,5.0261,4.7458,5.1535,-2.5699,-2.9314,-1.9089,525.975,427.3081,871.6382,0.5204,0.4211,0.6741,0.3868,0.3124,0.5035,0.2099,0.1684,0.2735,MARCS,224.96003110925,-55.17748002319,4.935016,6.014211,-0.2939,0.0
NGC_5822,5899775538328900224,225.28812754435,-53.48905637873,1.2185,-7.421,-5.656,18.726843,19.797995,17.708473,0.61,Gaia DR3 5899775538328900224,225.28812754435,-53.48905637873,0.0,0.0,154.0,1636148068921376768,5899775538328900224,379876466,0.1323,0.1798,1.2185,0.2343,5.2007,9.331,-7.421,0.183,-5.656,0.265,-0.4025,0.1159,-0.0127,-0.1949,-0.1819,-0.2376,0.5254,0.0391,-0.2623,-0.4878,353,0,351,2,0.0346,362.04,0.0,0.0,31,false,1.32,,,,,,,,40,18,0.4104,45,0.01429,71.92,0,0,1.0,0,379,608.42876,1.01619,598.734,18.726843,0.003299,38,164.52,8.45793,19.4516,19.797995,0.055887,41,654.288,8.22408,79.5577,17.708473,0.014161,1.346,0,3,0,3,0,2.089521,1.071152,1.01837,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.99999,3575.5,3552.2,3605.1,4.521,4.4681,4.6188,-1.6131,-1.6788,-1.3593,471.4024,446.7145,508.0818,0.5994,0.5481,0.6508,0.4145,0.3784,0.45,0.2254,0.2061,0.2448,PHOENIX,225.28818297794,-53.48903123933,2.935382,4.147258,-0.4793,0.0
NGC_5822,5899721254227852544,224.85422761794,-54.12829219741,1.5653,-7.301,-5.182,20.080828,20.955198,18.727455,0.1,Gaia DR3 5899721254227852544,224.85422761794,-54.12829219741,0.0,0.0,73.0,1636148068921376768,5899721254227852544,498331571,0.3995,0.3452,1.5653,0.53,2.9533,8.953,-7.301,0.589,-5.182,0.481,0.1016,0.0251,0.0243,0.1105,0.0554,0.0506,0.4747,-0.4139,0.167,-0.0145,289,0,286,3,0.5825,309.72,0.399,0.12096,95,false,,1.3198,0.1021,-0.072,-0.048,0.127,-0.103,-0.124,34,18,0.832239,36,0.02407,86.27,3,0,1.024,0,300,174.82986,1.09249,160.029,20.080828,0.007323,28,56.6679,4.43038,12.7908,20.955198,0.08493,31,255.963,5.7594,44.4426,18.727455,0.024721,1.788,0,28,0,31,0,2.227743,0.874371,1.353373,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999991,,,,,,,,,,,,,,,,,,,,,,,224.85428299531,-54.12826916758,9.422322,7.532073,-0.0217,0.0
NGC_5822,5899721219867963008,224.83641349673,-54.15343750301,1.5324,-6.731,-5.315,19.781916,20.154762,18.479212,0.08,Gaia DR3 5899721219867963008,224.83641349673,-54.15343750301,0.0,0.0,177.0,1636148068921376768,5899721219867963008,1245756659,0.4432,0.4978,1.5324,0.651,2.3539,8.577,-6.731,0.627,-5.315,0.764,-0.014,-0.0618,0.2632,0.0475,-0.1019,0.0544,0.3197,-0.127,0.0719,0.0166,287,0,279,8,16.2317,889.37,3.51,12.339,95,false,,1.4538,0.1159,-0.069,0.003,0.007,-0.023,-0.151,33,17,1.071824,36,0.02255,176.0,25,2,1.768,0,292,230.23971,1.43997,159.892,19.781916,0.007328,12,118.444,9.45665,12.5249,20.154762,0.086731,13,321.717,10.9362,29.4175,18.479212,0.037101,1.912,0,12,0,13,0,1.67555,0.372847,1.302704,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,2.0E-6,0.999989,,,,,,,,,,,,,,,,,,,,,,,224.83646458405,-54.15341387993,9.922687,12.075417,0.0125,0.0
NGC_5822,5893975309542565504,223.16806189117,-53.76610070617,0.6944,-6.61,-5.164,19.734684,20.560507,18.639248,0.05,Gaia DR3 5893975309542565504,223.16806189117,-53.76610070617,0.0,0.0,143.0,1636148068921376768,5893975309542565504,422181689,0.2715,0.2893,0.6944,0.4123,1.6842,8.388,-6.61,0.376,-5.164,0.37,-0.2361,-0.0993,0.269,-0.0159,0.0168,0.0062,0.4452,-0.3148,-0.0602,-0.0597,358,0,353,5,-0.0312,362.9,0.271,0.090122,95,false,,1.3765,0.0683,0.011,0.038,-0.08,-0.097,0.101,41,18,0.547592,43,0.02486,80.53,0,0,0.998,0,369,240.4769,0.836969,287.319,19.734684,0.004677,40,81.5106,4.51436,18.0559,20.560507,0.060197,39,277.625,6.33187,43.8457,18.639248,0.025049,1.493,0,40,0,39,0,1.921259,0.825823,1.095436,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,223.16811158901,-53.76607775312,5.945279,5.796433,-0.0618,0.0
NGC_5822,5893974484908537472,223.31551114345,-53.79328068331,1.2061,-7.81,-5.803,19.585285,20.35103,18.514383,0.06,Gaia DR3 5893974484908537472,223.31551114345,-53.79328068331,0.0,0.0,115.0,1636148068921376768,5893974484908537472,840831792,0.2903,0.263,1.2061,0.3949,3.054,9.73,-7.81,0.414,-5.803,0.349,-0.1143,-0.1298,0.4213,0.0199,0.0598,0.0079,0.4333,-0.2621,-0.0109,0.0078,324,0,324,0,1.4859,378.7,0.648,0.60836,95,false,,1.307,0.0674,0.002,0.078,-0.043,-0.012,0.108,38,19,0.593868,42,0.02434,102.1,0,11,1.058,0,339,275.95123,0.88581,311.524,19.585285,0.004443,8,98.8564,13.695,7.21845,20.35103,0.150437,8,311.462,15.9453,19.5332,18.514383,0.055713,1.487,0,2,0,2,0,1.836647,0.765745,1.070902,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999997,,,,,,,,,,,,,,,,,,,,,,,223.31556990712,-53.79325489264,6.505073,5.467625,0.0066,0.0
NGC_5822,5893973552906621952,223.18752945448,-53.80407883709,1.3124,-7.633,-5.341,18.22185,19.314789,17.215118,0.62,Gaia DR3 5893973552906621952,223.18752945448,-53.80407883709,0.0,0.0,146.0,1636148068921376768,5893973552906621952,1332903039,0.0929,0.1071,1.3124,0.1494,8.7844,9.316,-7.633,0.127,-5.341,0.137,-0.3417,0.1548,-0.0443,-0.1473,-0.0453,-0.0824,0.4168,-0.1892,-0.0455,-0.2169,400,0,399,1,0.4553,424.25,0.143,0.18509,31,false,1.341,,,,,,,,46,19,0.207736,49,0.01822,122.6,0,0,1.015,0,420,968.7386,1.21648,796.348,18.22185,0.003074,31,256.745,7.08355,36.2452,19.314789,0.030085,31,1030.65,7.23274,142.498,17.215118,0.008505,1.329,0,0,0,0,0,2.09967,1.092939,1.006731,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999966,3564.1,3515.8,3602.5,4.5762,4.4748,4.6208,-1.3591,-1.4704,-1.2841,441.949,408.6006,471.1451,0.2677,0.2063,0.3334,0.185,0.1424,0.2307,0.1039,0.0797,0.1298,MARCS,223.18758690047,-53.8040550999,2.033668,2.151497,-0.2104,0.0
NGC_5822,5893972693909362688,223.18998965226,-53.83462736941,0.9229,-7.66,-5.054,19.076721,20.487812,17.847319,0.12,Gaia DR3 5893972693909362688,223.18998965226,-53.83462736941,0.0,0.0,146.0,1636148068921376768,5893972693909362688,705876879,0.2402,0.2853,0.9229,0.3827,2.4118,9.177,-7.66,0.324,-5.054,0.35,-0.4128,0.0667,0.0195,-0.1055,-0.0985,-0.016,0.4333,-0.2489,-0.0111,-0.2513,377,0,373,4,6.5015,677.8,1.952,10.695,95,false,,1.1637,0.0599,0.084,0.099,-0.085,0.066,0.135,44,19,0.537522,47,0.08886,36.97,0,0,1.248,0,388,440.81727,1.75808,250.738,19.076721,0.005132,41,87.155,5.15858,16.8951,20.487812,0.064324,43,575.745,7.17388,80.2557,17.847319,0.014046,1.504,0,0,0,1,0,2.640493,1.411091,1.229403,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999983,,,,,,,,,,,,,,,,,,,,,,,223.19004734339,-53.83460490872,5.178509,5.489244,-0.2518,0.0
NGC_5822,5893972182807513984,223.14987164657,-53.86493983515,0.8108,-6.668,-5.476,19.978767,21.063145,18.818295,0.05,Gaia DR3 5893972182807513984,223.14987164657,-53.86493983515,0.0,0.0,140.0,1636148068921376768,5893972182807513984,1634840547,0.3602,0.3831,0.8108,0.5762,1.4071,8.629,-6.668,0.488,-5.476,0.5,-0.3328,-0.0857,0.1282,-0.0024,0.1307,-0.014,0.2987,-0.1988,-0.1359,-0.1863,300,0,300,0,2.4347,375.42,0.989,0.76698,95,false,,1.3173,0.0963,0.017,0.066,-0.025,0.002,0.054,35,17,0.752103,38,0.01868,73.01,0,0,1.101,0,316,192.06135,0.869355,220.924,19.978767,0.005634,31,51.3049,4.81899,10.6464,21.063145,0.10202,31,235.418,6.74189,34.9188,18.818295,0.031322,1.493,0,1,0,1,0,2.24485,1.084377,1.160473,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999997,,,,,,,,,,,,,,,,,,,,,,,223.14992190282,-53.86491549531,7.776457,7.897292,-0.1897,0.0
NGC_5822,5893971117654241152,222.91801155901,-53.8566342373,1.2922,-7.914,-5.445,19.70147,20.887873,18.58876,0.07,Gaia DR3 5893971117654241152,222.91801155901,-53.8566342373,0.0,0.0,95.0,1636148068921376768,5893971117654241152,548596390,0.3327,0.2883,1.2922,0.4272,3.025,9.606,-7.914,0.497,-5.445,0.373,-0.0265,-0.0517,0.4648,0.1504,0.0844,0.1479,0.3627,-0.2418,0.2491,0.0623,344,0,333,11,1.8232,430.73,1.616,3.5344,95,false,,1.1426,0.0754,0.067,0.02,0.011,0.085,0.02,40,19,0.714832,43,0.03211,117.2,0,0,1.071,0,349,247.94705,0.804139,308.339,19.70147,0.004471,28,60.2931,6.10118,9.88221,20.887873,0.109903,31,290.84,6.42992,45.2322,18.58876,0.024299,1.416,0,0,0,1,0,2.299112,1.186403,1.112709,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999988,,,,,,,,,,,,,,,,,,,,,,,222.91807119337,-53.85661003834,7.800485,5.871023,0.0505,0.0
NGC_5822,5893970877163510400,222.83415951755,-53.86151723238,0.9563,-7.573,-4.996,17.16437,17.931181,16.312786,0.06,Gaia DR3 5893970877163510400,222.83415951755,-53.86151723238,0.0,0.0,142.0,1636148068921376768,5893970877163510400,43631758,0.0486,0.0512,0.9563,0.0736,12.9934,9.072,-7.573,0.068,-4.996,0.067,-0.2086,0.1144,-0.1227,0.0374,0.0014,0.0514,0.2771,-0.1982,0.2216,-0.1573,387,0,387,0,0.2254,405.27,0.0,0.0,31,false,1.4,,,,,,,,44,21,0.102228,46,0.02509,101.3,0,0,1.007,0,391,2565.65906,2.0801,1233.43,17.16437,0.002893,41,918.216,7.37196,124.555,17.931181,0.009153,38,2366.16,8.41055,281.332,16.312786,0.005402,1.28,0,1,0,0,0,1.618395,0.766811,0.851583,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999984,4546.2,4514.6,4576.8,4.6698,4.6585,4.6837,-0.5006,-0.5476,-0.4557,771.4646,752.9555,788.9071,0.9327,0.8911,0.9661,0.7007,0.6687,0.7268,0.3739,0.3568,0.388,PHOENIX,222.83421658791,-53.86149502875,1.09651,1.058031,-0.1628,0.0
NGC_5822,5899732696063155968,225.26997017604,-53.82305386593,1.2662,-7.634,-5.464,16.659767,17.361372,15.844638,1.0,Gaia DR3 5899732696063155968,225.26997017604,-53.82305386593,0.0,0.0,150.0,1636148068921376768,5899732696063155968,1624334077,0.0343,0.0415,1.2662,0.0533,23.7413,9.388,-7.634,0.046,-5.464,0.057,-0.3195,-0.0331,-0.0544,-0.1146,-0.0886,-0.107,0.412,1.0E-4,-0.0552,-0.305,452,0,451,1,0.5652,483.13,0.0,0.0,31,false,1.413,,,,,,,,52,20,0.085679,56,0.01302,83.76,0,0,1.018,0,482,4083.56621,2.14224,1906.21,16.659767,0.002814,51,1551.92,9.64558,160.894,17.361372,0.007302,50,3641.69,7.77967,468.103,15.844638,0.004434,1.272,0,2,0,1,0,1.516734,0.701605,0.815129,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999952,4543.6,4526.7,4560.1,4.6498,4.6397,4.6579,-0.0122,-0.0391,0.009,759.4907,751.2448,767.6944,0.569,0.5453,0.5912,0.4299,0.4116,0.447,0.2267,0.2171,0.2359,MARCS,225.2700276585,-53.8230295821,0.745407,0.894268,-0.2998,0.0
