Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb
NGC_5822,5881693558556794368,224.9730392931,-54.64980664446,0.7865,-7.275,-4.852,19.00371,19.589502,17.807777,0.07
NGC_5822,5881663493771332736,224.38963104097,-54.86014681866,1.4562,-7.132,-6.192,19.948256,21.934065,18.668571,0.07
NGC_5822,5887718641756609408,226.00408339267,-54.22352960828,1.1716,-7.319,-5.434,14.110597,14.457122,13.59344,1.0
NGC_5822,5881662875325140224,224.37635942358,-54.89956780577,1.1876,-8.076,-5.456,16.389484,17.048779,15.615577,0.84
NGC_5822,5887719328951145472,225.95082193131,-54.22064671711,1.3564,-6.957,-5.35,16.71291,17.397095,15.816244,0.84
NGC_5822,5887764511954837504,227.29412328993,-53.97004442116,1.3883,-8.134,-5.214,20.015202,21.006992,18.900194,0.05
NGC_5822,5887719397655931520,225.92826173653,-54.21161668109,0.9667,-7.063,-5.12,19.895334,21.021069,18.79742,0.17
NGC_5822,5887719432030368256,225.96189761125,-54.20960806026,1.2579,-7.55,-5.719,15.077959,15.514222,14.470786,1.0
NGC_5822,5887813990024558464,227.09443844935,-53.44332191148,1.2515,-7.397,-5.693,15.280131,15.746952,14.644509,1.0
NGC_5822,5887719500749855488,225.95878616862,-54.19870889767,1.1899,-7.602,-5.752,15.710799,16.242928,15.035236,1.0
NGC_5822,5887764885618763008,227.25385623981,-53.91601643424,1.5496,-7.208,-5.722,18.916807,20.320942,17.818474,0.3
NGC_5822,5887764919973431424,227.14947516427,-53.99970400622,1.0554,-8.441,-5.441,18.995554,19.708153,17.901814,0.08
NGC_5822,5887719290241806208,225.93365779421,-54.23056742531,1.174,-7.265,-5.397,12.003371,12.225847,11.629684,1.0
NGC_5822,5887719775627784320,225.91766252842,-54.18027207043,1.2307,-7.468,-5.257,15.6692915,16.183296,14.99667,1.0
NGC_5822,5887862192396990080,226.88814494916,-53.35035174716,1.0685,-7.638,-4.91,19.151745,20.164326,18.13029,0.08
NGC_5822,5887719809987536128,225.94085181012,-54.15652597181,1.2324,-7.317,-5.36,14.3950815,14.765958,13.851906,1.0
NGC_5822,5887765023057699072,227.14832604503,-53.96447008155,1.1226,-6.919,-4.945,19.233706,20.641521,18.00506,0.19
NGC_5822,5887862265445727616,226.96180842127,-53.35708479898,1.2545,-7.806,-5.897,19.95728,20.380919,18.70604,0.09
NGC_5822,5887719913066933760,226.04582307054,-54.22131636423,1.3005,-7.431,-5.799,17.87902,18.8182,16.74688,0.84
NGC_5822,5887719943083859072,226.04744803222,-54.20859830935,1.1796,-7.302,-5.623,13.675168,13.998785,13.1785965,1.0
NGC_5822,5887719981774209280,226.08313116869,-54.20587728238,1.2958,-7.454,-5.54,18.031216,19.053587,17.008974,0.96
NGC_5822,5887719981786601984,226.07172902936,-54.20710908982,0.7432,-6.895,-5.606,19.624025,20.476027,18.407436,0.15
NGC_5822,5887719775627795328,225.915222739,-54.16555000317,0.8516,-6.773,-4.207,20.014671,20.917213,18.673315,0.05
NGC_5822,5887719191512205568,225.88564036315,-54.21931273506,1.1959,-7.421,-5.679,12.897324,13.168703,12.452284,1.0
NGC_5822,5887719122792720896,225.84456271975,-54.23715282479,1.1881,-7.548,-5.279,15.225957,15.68593,14.599371,1.0
NGC_5822,5887764340206222336,227.2052639419,-53.97361699636,1.1506,-7.6,-5.458,13.353813,13.688369,12.845395,1.0
NGC_5822,5881691389552852992,224.74701939653,-54.62806622463,1.2332,-7.645,-5.311,18.851921,19.949005,17.714083,0.77
NGC_5822,5887763206284861312,227.01786804938,-54.02072671571,0.7966,-7.162,-5.517,18.809504,19.694845,17.842846,0.13
NGC_5822,5887718435598169984,226.02267305152,-54.24450842621,1.177,-7.463,-5.506,14.351397,14.717051,13.800589,1.0
NGC_5822,5887763412443220608,227.11916012155,-54.0082947296,1.0685,-6.507,-5.514,19.03431,19.31477,17.80663,0.05
NGC_5822,5887718538677144192,225.94477681234,-54.24980248265,1.2664,-7.522,-5.591,13.872637,14.250826,13.322477,1.0
NGC_5822,5887763614303383040,227.03668034732,-54.0019578102,1.2743,-7.513,-5.528,17.735159,18.701096,16.798555,1.0
NGC_5822,5887718573036888320,225.97259177033,-54.23490667268,1.2679,-7.415,-5.362,10.529095,10.702095,10.222661,1.0
NGC_5822,5887718603047038592,226.00297509147,-54.22975773443,1.087,-6.61,-5.27,11.592037,11.754415,11.305495,0.26
NGC_5822,5881582920149368064,224.70460210794,-55.53147160974,1.0943,-7.776,-4.755,18.318724,19.167881,17.378542,0.08
NGC_5822,5887763790400613760,227.09374784261,-53.97293808148,0.7234,-7.54,-5.298,18.720236,19.995508,17.674425,0.11
NGC_5822,5887718710462553600,225.99089400205,-54.20470521291,0.7273,-7.383,-5.46,19.568375,20.30572,18.559326,0.06
NGC_5822,5887718740485998208,225.87695140878,-54.28239549753,1.1818,-7.475,-5.425,11.198439,11.42328,10.824321,1.0
NGC_5822,5887718809208021120,225.8616894046,-54.26605765001,1.0299,-7.381,-5.187,19.124708,20.519335,18.027044,0.45
NGC_5822,5887764099637866624,227.17277816987,-54.01700137214,0.7206,-6.53,-4.969,19.67815,20.288477,18.529482,0.06
NGC_5822,5887861131586315648,227.01129716035,-53.4134538972,1.0539,-7.061,-5.581,18.02469,18.581882,16.922628,0.37
NGC_5822,5887718916634278784,225.91431185474,-54.23872329974,1.2143,-7.269,-5.6,13.736293,14.063487,13.2421,1.0
NGC_5822,5887719019713485056,225.84961483458,-54.26300081989,1.1793,-7.334,-5.576,13.529797,13.839038,13.054188,1.0
NGC_5822,5887719054058464128,225.8654215688,-54.24567850752,1.2113,-7.135,-5.162,19.646036,19.705793,18.407623,0.3
NGC_5822,5887719054073235584,225.86804082856,-54.24279929816,1.1839,-7.601,-5.317,11.065066,11.247099,10.74757,1.0
NGC_5822,5881620952088961792,225.17109207443,-55.02020072546,1.0749,-7.627,-5.486,18.496294,19.637714,17.47775,0.65
NGC_5822,5881623773897592064,225.51693120799,-54.95613580772,0.9029,-7.517,-5.961,19.89599,20.622877,18.81277,0.12
NGC_5822,5899862094796089472,225.70559115101,-53.38128438466,1.6372,-7.188,-4.914,19.311178,20.198954,18.255274,0.07
NGC_5822,5881623735215581440,225.51648255502,-54.97267803031,1.1047,-7.405,-5.551,17.753492,18.5418,16.619453,0.92
NGC_5822,5893991630426061568,224.01331520377,-53.627528307,1.6715,-7.827,-4.721,18.915176,19.643291,17.831467,0.05
NGC_5822,5894061174559630080,223.36145852434,-53.26449480807,0.8475,-7.179,-5.575,19.21992,19.829609,18.141212,0.05
NGC_5822,5893989873775833472,223.88927044422,-53.68568154175,1.0432,-7.734,-5.123,18.823265,19.870012,17.863163,0.13
NGC_5822,5894059971968746368,223.36221634726,-53.34109491146,1.4429,-7.375,-4.968,16.919561,17.737574,16.02907,0.06
NGC_5822,5893987575997222656,223.61493029961,-53.68823916538,0.9538,-7.47,-4.971,19.272661,20.139946,18.11242,0.11
NGC_5822,5893983865123279104,223.67307987593,-53.76676976131,1.1524,-6.893,-5.451,19.49572,20.664843,18.456158,0.05
NGC_5822,5893983452828545536,223.81679202144,-53.75255208077,0.9245,-8.148,-4.532,19.341475,19.90056,18.16069,0.05
NGC_5822,5893982903050465664,223.74762305589,-53.79851024676,1.5192,-7.122,-4.837,20.063972,20.745539,18.843283,0.05
NGC_5822,5881700980261875840,224.99618646177,-54.37710323485,1.1352,-7.59,-4.733,19.981789,20.871683,18.854025,0.07
NGC_5822,5881700911554151552,224.94789156106,-54.39367100989,1.2114,-7.603,-5.352,15.914717,16.52795,15.15651,1.0
NGC_5822,5881700911542385408,224.96954529162,-54.3894862553,0.9061,-7.477,-5.982,20.164072,20.910543,19.01585,0.08
NGC_5822,5881700636664370432,224.989668037,-54.41934812518,1.0981,-8.271,-5.692,18.14401,19.341444,17.142063,0.17
NGC_5822,5881700052548648576,224.95495738494,-54.46036044503,0.7366,-7.318,-6.38,19.64918,20.977531,18.338696,0.08
NGC_5822,5881699949469615360,225.04182147966,-54.40591144918,0.7275,-7.327,-5.734,18.887943,19.362858,17.664804,0.07
NGC_5822,5881699708951311104,225.09693129333,-54.4239109161,1.0625,-7.982,-5.637,19.054735,19.854946,18.105701,0.08
NGC_5822,5893993039175553792,223.90475614497,-53.54578262583,0.9248,-6.81,-5.95,20.037022,20.849775,18.736492,0.06
NGC_5822,5893995616176094848,223.72075052128,-53.52649267684,1.1655,-7.4,-4.73,15.472616,15.991666,14.791359,0.07
NGC_5822,5893996264693383424,223.85111979892,-53.51038189824,1.0575,-8.145,-5.378,18.568182,19.475996,17.42365,0.08
NGC_5822,5893997089327132288,223.82560329365,-53.48567378097,1.2881,-7.696,-5.053,18.840227,19.76037,17.778088,0.31
NGC_5822,5893946756626434432,223.04594184883,-54.2354592976,1.2356,-7.36,-4.89,18.58525,19.785572,17.484686,0.29
NGC_5822,5893945721509537024,223.14546346031,-54.27480497164,0.9458,-7.079,-5.618,19.598093,20.52703,18.48913,0.1
NGC_5822,5894055019841417600,223.25415989658,-53.33339672994,1.2359,-7.675,-4.902,18.054295,19.175419,17.051117,0.12
NGC_5822,5894054165163410304,223.2457742217,-53.41241041829,1.3572,-7.029,-6.003,20.01617,21.386827,18.76431,0.08
NGC_5822,5894050931031769216,223.16797406956,-53.52950793287,1.1249,-7.31,-5.938,17.214266,18.047459,16.309347,0.45
NGC_5822,5881698948694155008,225.0214115409,-54.50878326349,1.1203,-7.507,-4.65,17.63406,18.533335,16.716034,0.14
NGC_5822,5894010012886716544,223.79626908966,-53.36434545918,1.2889,-7.605,-5.257,19.858551,21.172312,18.746305,0.09
NGC_5822,5894007642063099520,223.72170916385,-53.46051260479,1.0285,-7.683,-4.898,19.256077,20.543856,18.201292,0.08
NGC_5822,5894003587612621440,223.23186830686,-53.59489073841,1.2504,-7.687,-5.975,19.00268,19.955637,17.946619,0.16
NGC_5822,5881623808257331840,225.48366744549,-54.96283492338,0.8819,-7.082,-5.339,19.413368,20.204853,18.375101,0.11
NGC_5822,5881698849957868544,224.86599275723,-54.4676069809,0.7045,-7.198,-5.884,19.370798,20.34222,18.373455,0.09
NGC_5822,5881586695422625024,224.74163749864,-55.33285033777,0.9886,-7.491,-4.78,18.91426,19.802675,17.932716,0.06
NGC_5822,5881696165555621248,225.12888571488,-54.51994009618,1.2685,-7.384,-4.95,19.112436,20.380701,18.02893,0.42
NGC_5822,5881624942167215360,225.69178714553,-54.9090491603,1.3822,-7.652,-5.395,16.81608,17.555576,16.004675,0.99
NGC_5822,5881584466338291456,224.66032415467,-55.41505638143,0.9362,-7.954,-5.088,19.338121,20.469788,18.235502,0.1
NGC_5822,5881696101178233344,225.04803597465,-54.51269539113,0.7557,-7.252,-4.924,19.26683,19.869127,18.131756,0.07
NGC_5822,5881696066830832640,225.0730296975,-54.50565798518,1.1612,-8.058,-5.584,15.368514,15.921715,14.650129,1.0
NGC_5822,5881696066830807040,225.07584713038,-54.51542788671,1.18,-7.561,-5.394,11.681286,11.921464,11.284004,1.0
NGC_5822,5887720080515783936,226.07724990636,-54.17905085536,1.2537,-7.507,-5.448,12.261414,12.491287,11.88805,1.0
NGC_5822,5881584393319423616,224.60699766256,-55.43284856477,0.7216,-7.322,-4.457,19.253448,19.930231,18.094955,0.07
NGC_5822,5881695998098988160,225.02314484963,-54.52179665934,1.0871,-7.64,-5.273,19.280704,20.272818,18.273058,0.27
NGC_5822,5881624426732394112,225.55958689929,-54.98046881113,0.7563,-7.683,-5.765,17.938278,18.496576,16.782995,0.11
NGC_5822,5881695654501204608,225.07239294368,-54.56557962845,0.7747,-7.227,-5.019,18.897911,19.961563,17.922045,0.05
NGC_5822,5881624186253262080,225.61502561494,-54.9885311435,1.1892,-7.57,-6.076,14.517654,14.90387,13.958477,1.0
NGC_5822,5881695517062453120,225.19415229917,-54.51374969127,0.885,-7.134,-5.742,19.91254,20.801561,18.709051,0.08
NGC_5822,5881583435600131840,224.70454085007,-55.45847778482,1.326,-6.879,-5.472,17.485249,18.42515,16.52713,0.44
NGC_5822,5881623876976751744,225.43848180986,-54.97927796436,1.0999,-7.266,-5.179,19.712378,20.631874,18.745712,0.06
NGC_5822,5881625045208139520,225.60825180057,-54.91136830114,1.142,-7.182,-4.514,20.291473,21.21519,19.078194,0.09
NGC_5822,5881625079567865728,225.63331679507,-54.90767268545,1.1461,-8.087,-5.401,19.981014,20.639046,18.742432,0.07
NGC_5822,5881696307336644096,225.14600173038,-54.49518738718,1.0708,-7.436,-5.168,18.707737,19.947226,17.663841,0.65
NGC_5822,5881625182649545216,225.63861634721,-54.88896226643,1.4657,-7.143,-5.867,20.354889,21.060131,19.075026,0.05
NGC_5822,5881586592343473280,224.73208748872,-55.32638256293,1.143,-7.929,-4.782,18.04661,18.636072,17.008177,0.08
NGC_5822,5881586459203331456,224.78798337962,-55.33449059802,0.7042,-7.284,-5.173,19.615303,20.090965,18.470879,0.14
NGC_5822,5881586356124018432,224.78801052809,-55.36380750899,0.718,-7.477,-5.177,19.411873,20.315886,18.29528,0.11
NGC_5822,5881586253044757248,224.77649696242,-55.37843851265,0.9081,-7.284,-5.054,19.647636,20.298502,18.36108,0.07
NGC_5822,5881697917910364800,224.822892441,-54.53586054588,0.7788,-7.793,-5.17,19.038385,19.981974,18.039593,0.05
NGC_5822,5881697887896973440,224.79792383594,-54.55804837142,0.8683,-6.917,-5.457,19.109081,20.208418,18.189962,0.06
NGC_5822,5881586218684986240,224.75982842049,-55.38807119049,1.0372,-7.194,-5.794,18.0112,18.689287,17.03998,0.29
NGC_5822,5881698815598158848,224.89209751025,-54.45698964675,0.9346,-7.025,-5.074,19.773201,20.89041,18.658781,0.11
NGC_5822,5881626625794417920,225.31692222218,-54.97593078739,1.2111,-7.648,-5.635,14.275715,14.6458645,13.7331505,1.0
NGC_5822,5881626385282385280,225.36232653607,-54.98926610007,1.6146,-7.726,-5.022,19.68647,20.684193,18.41762,0.14
NGC_5822,5881697509939847168,224.98173338277,-54.52297710667,1.2077,-7.527,-5.394,14.893791,15.326107,14.286983,1.0
NGC_5822,5881626144721559552,225.55400017056,-54.87042923904,0.8971,-7.595,-4.829,20.355436,20.61787,19.228996,0.08
NGC_5822,5881626007319228160,225.60557069552,-54.86111748521,1.2198,-7.673,-5.63,14.197813,14.571778,13.6516075,1.0
NGC_5822,5881625869880222208,225.58442393602,-54.8955744005,0.8449,-6.639,-5.905,19.984093,21.047031,18.86073,0.07
NGC_5822,5881625629362073216,225.49921408682,-54.90309749789,1.3095,-7.692,-5.517,15.798255,16.429699,15.036401,1.0
NGC_5822,5881696685306222336,225.12029064399,-54.4466121333,1.2236,-7.495,-5.392,13.562737,13.87978,13.073247,1.0
NGC_5822,5881626488317015040,225.38926917383,-54.97155994902,0.8746,-8.209,-5.568,19.260653,20.315392,18.144005,0.06
NGC_5822,5887765199199464448,227.10851137153,-53.97172303127,1.1825,-7.364,-5.561,12.161695,12.366299,11.822246,1.0
NGC_5822,5887720565902115584,226.15064303185,-54.1583683604,1.1686,-7.903,-6.026,13.154875,13.499807,12.62752,0.96
NGC_5822,5887814677191498368,227.27185101802,-53.5341256767,0.8222,-7.218,-4.507,19.902338,20.483667,18.69314,0.08
NGC_5822,5893685583931904384,223.90042447565,-54.67677468017,0.8559,-7.511,-5.507,19.024431,20.374918,17.861256,0.26
NGC_5822,5893685760030921600,223.93417748032,-54.63853139245,0.8281,-7.383,-5.307,19.958017,20.739483,18.80787,0.1
NGC_5822,5893802853725844992,224.07946818343,-53.68366799246,1.2727,-7.434,-5.095,11.634504,11.736985,11.4433155,0.87
NGC_5822,5893686309786433920,223.69582297718,-54.73660827315,0.8413,-7.611,-5.769,19.53405,20.587673,18.502785,0.08
NGC_5822,5893686580373429888,223.78030082509,-54.70608343705,1.2384,-7.613,-5.293,18.788368,19.694626,17.715263,0.64
NGC_5822,5893804404247454336,224.07432462644,-53.6074434107,1.0094,-7.631,-6.116,17.509907,18.5455,16.494371,0.13
NGC_5822,5893687340579335040,223.65201932606,-54.69197301824,1.1537,-7.529,-4.804,19.796408,20.405256,18.568693,0.1
NGC_5822,5893736371963195008,223.69054900429,-54.61904234188,0.877,-6.852,-5.588,19.502892,20.89916,18.34233,0.1
NGC_5822,5893737746331375872,223.61720656277,-54.55135854322,0.9087,-8.162,-5.448,19.455347,20.413649,18.360891,0.06
NGC_5822,5893739322571927808,223.53041472226,-54.53519788677,1.3092,-8.0,-5.176,19.262762,20.600538,18.191431,0.11
NGC_5822,5893739597441823488,223.50677407183,-54.51473591387,1.4917,-7.832,-4.871,17.98812,18.77472,16.978046,0.06
NGC_5822,5893740181561774592,223.40446359542,-54.49948897891,0.9852,-8.149,-5.471,19.182076,20.826426,18.022268,0.08
NGC_5822,5893691188872027136,224.12819724808,-54.59461935381,0.8493,-6.672,-5.135,19.722723,21.447449,18.54922,0.06
NGC_5822,5893685382108541952,223.95884057351,-54.6876297069,1.1374,-7.733,-5.244,16.646872,17.348455,15.842039,0.98
NGC_5822,5893691429389678592,224.0223218524,-54.63147814326,0.984,-7.287,-4.649,19.12322,19.713898,17.8682,0.08
NGC_5822,5893684553139548160,223.98430200814,-54.7122291793,1.1495,-8.382,-5.373,18.9403,19.660713,17.759111,0.06
NGC_5822,5893733107764638720,224.49664010782,-54.07270720322,0.7334,-7.686,-5.081,20.304617,21.396122,19.129074,0.06
NGC_5822,5893796020471353472,224.04815344078,-53.9273261999,0.9995,-8.194,-5.493,18.377522,19.516846,17.330822,0.06
NGC_5822,5893796089181951360,224.02811892166,-53.91354709655,0.741,-7.422,-4.889,19.93055,20.659037,18.818047,0.06
NGC_5822,5893796226619586688,224.06492149063,-53.88839796619,1.5296,-7.701,-5.411,19.84462,21.217312,18.838024,0.05
NGC_5822,5893729564405272448,224.61117346297,-54.10147188858,0.9266,-7.265,-6.079,18.78267,19.685085,17.770782,0.19
NGC_5822,5893796913813283328,223.99756502688,-53.87662976508,1.0744,-7.963,-4.927,20.05615,21.16682,18.905947,0.05
NGC_5822,5893730358985104256,224.49459780799,-54.17948501591,0.8184,-7.287,-5.714,19.289503,20.2146,18.260344,0.13
NGC_5822,5893797841537597056,224.08703355293,-53.7942653077,0.8968,-7.82,-5.272,18.635738,19.494154,17.48843,0.23
NGC_5822,5893730938790264704,224.33825335077,-54.16774021117,0.9477,-7.641,-4.86,19.587164,20.101387,18.407701,0.11
NGC_5822,5893682732072553600,223.77424099809,-54.81197303204,1.0729,-7.599,-5.569,18.73574,20.040174,17.684143,0.49
NGC_5822,5893731114900099200,224.39066438821,-54.14450561033,1.4601,-6.928,-4.746,19.969711,20.373905,18.71982,0.05
NGC_5822,5893798494360053248,224.23976148998,-53.80121702471,1.1628,-8.1,-5.092,19.989454,20.903702,18.839916,0.08
NGC_5822,5893798799278683776,224.23222870962,-53.76097664064,1.1699,-7.657,-5.476,19.376127,20.512426,18.360907,0.17
NGC_5822,5893683453627286144,223.82221366077,-54.76169654539,0.8905,-6.984,-5.979,18.983202,19.653797,17.779984,0.14
NGC_5822,5893683526647402112,223.80572244259,-54.75560335463,0.7665,-7.445,-5.162,18.627537,19.251196,17.566021,0.17
NGC_5822,5893799903109454208,224.17663196463,-53.71044533616,1.153,-6.672,-5.319,19.733644,20.460741,18.548906,0.06
NGC_5822,5893684179517617024,224.00224109381,-54.74606530514,0.8086,-7.844,-5.491,19.559074,20.341398,18.428562,0.09
NGC_5822,5893684454395569024,223.97916314252,-54.71475579649,0.859,-7.4,-4.984,19.256641,20.12323,18.05542,0.2
NGC_5822,5893729190754234880,224.59760078456,-54.10687680074,0.8314,-7.096,-5.819,20.242945,21.392246,19.039444,0.06
NGC_5822,5893691665606004608,223.95718772956,-54.61647090136,0.8231,-7.607,-5.49,18.859407,19.656342,17.848322,0.12
NGC_5822,5893741212354028416,223.61472060987,-54.46250925458,0.9891,-6.833,-5.42,19.47234,20.746964,18.374025,0.07
NGC_5822,5887769734636081792,227.02004471017,-53.85336306115,0.9637,-6.488,-5.394,20.135206,21.105576,18.818823,0.09
NGC_5822,5887724792149886720,225.99340572329,-54.0845048359,1.1381,-6.906,-5.072,14.609298,15.003822,14.000284,0.98
NGC_5822,5899728396764347136,225.37986000624,-53.9011244999,0.8821,-7.245,-4.736,18.772976,19.668987,17.764685,0.09
NGC_5822,5899728950851484416,225.14083390157,-54.00108612657,1.271,-7.554,-5.575,17.24678,18.115307,16.34412,1.0
NGC_5822,5899729152678182400,225.11818806162,-53.98035705631,1.3505,-7.918,-5.061,18.47414,19.480333,17.336437,0.49
NGC_5822,5899730428281971584,225.10807788125,-53.93594116459,0.8927,-7.434,-5.207,20.260448,21.287518,19.058552,0.1
NGC_5822,5899784849808936448,225.37642785048,-53.30873506808,1.6128,-7.571,-5.69,19.189327,20.672522,18.012411,0.16
NGC_5822,5899730428320333056,225.09711617305,-53.92820676518,1.1873,-7.6,-5.177,13.790409,14.111759,13.268011,1.0
NGC_5822,5899730630147256576,225.09564331951,-53.92013098392,1.3991,-8.268,-4.895,19.516352,20.306639,18.270853,0.07
NGC_5822,5899731356033274880,225.25294470838,-53.89088278359,1.3037,-7.479,-6.286,12.254929,12.467836,11.85847,0.15
NGC_5822,5899731527793850624,225.27489571249,-53.89046281169,1.2884,-7.284,-5.086,20.533121,20.68772,19.246054,0.06
NGC_5822,5899785953665375360,224.52082591363,-53.93599619849,0.9754,-7.846,-5.978,18.775797,19.465895,17.815025,0.05
NGC_5822,5899731733951166848,225.27010797218,-53.87294721684,1.1428,-7.238,-5.509,19.31288,19.764795,18.027534,0.24
NGC_5822,5899731940148911232,225.27659539485,-53.83096463667,1.0647,-7.151,-5.142,15.594433,16.09872,14.924364,0.99
NGC_5822,5899786778270337792,224.55357301384,-53.85285749225,0.9038,-6.372,-5.645,20.103848,20.579288,18.951609,0.05
NGC_5822,5893740941787826688,223.62782158925,-54.48338877613,0.8137,-7.088,-5.143,19.50135,20.07596,18.260153,0.1
NGC_5822,5893692047865617664,224.06865878788,-54.57405581188,1.1805,-7.848,-5.356,20.222792,20.848747,19.020285,0.05
NGC_5822,5893743033415645568,223.81090751808,-54.51611847033,1.3789,-7.89,-5.632,17.213858,18.042765,16.31306,0.43
NGC_5822,5893744309043606016,223.78781796583,-54.42783796707,1.4497,-7.123,-4.753,19.408213,20.367865,18.242311,0.08
NGC_5822,5893744510885216000,223.79039229127,-54.41459953057,1.3449,-7.724,-5.302,18.838554,19.61465,17.657661,0.13
NGC_5822,5893744687001827840,223.81727787512,-54.41426309324,1.1916,-7.719,-5.916,19.006298,19.300377,17.715448,0.07
NGC_5822,5893745546013754752,223.91751469895,-54.37707277181,1.1826,-7.332,-5.062,11.957316,12.187354,11.580667,1.0
NGC_5822,5893747573238333952,223.73029611857,-54.39060680027,1.092,-8.049,-6.024,18.854744,19.639357,17.733063,0.07
NGC_5822,5887724689070672640,225.93663364069,-54.07531563318,1.1891,-7.609,-5.459,11.271057,11.468016,10.9403105,1.0
NGC_5822,5887724684728544896,225.94475430494,-54.0796921213,1.2209,-7.077,-4.621,19.416306,20.229654,18.273424,0.08
NGC_5822,5887724620350974720,225.89963216041,-54.08420509443,1.1706,-7.395,-5.453,15.1700115,15.62014,14.533994,1.0
NGC_5822,5887766229991602176,226.98241693153,-54.00919651024,1.1807,-8.207,-5.285,17.644875,18.673864,16.618088,0.49
NGC_5822,5887863571115120384,226.79168604528,-53.36698067789,0.7742,-6.934,-5.539,19.227423,20.162052,18.217646,0.07
NGC_5822,5887721150004295808,225.99917671024,-54.14426159721,0.6981,-7.458,-5.119,19.978737,20.741003,18.775213,0.18
NGC_5822,5887863571127858688,226.79820020779,-53.36238255507,1.0237,-7.08,-5.132,19.379847,20.259537,18.386507,0.12
NGC_5822,5887721253083470848,225.9787053435,-54.14858236738,1.1627,-7.593,-5.447,15.399453,15.733328,14.653279,1.0
NGC_5822,5887721253096772864,225.97886296764,-54.14797715109,1.1869,-7.549,-5.278,13.563091,13.864565,13.061162,1.0
NGC_5822,5887721493614962304,226.04632013766,-54.13406599047,1.2099,-7.22,-5.471,13.294061,13.584438,12.8390255,1.0
