RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
225.36253386385,-56.16555151868,5881259835546421120,1.3358,-7.741,-5.774,95,,1.3683,1.049,20.126379,21.618309,19.081638,2.536671,,-37.19347095794,225.36259565564,-56.16552585771,1.321138,1
224.9613860794,-56.26434200603,5881264199237533952,1.3182,-6.086,-5.124,95,,1.3314,1.065,20.581202,21.602028,19.699842,1.902185,,-37.36455022479,224.96143478809,-56.26431923152,1.294409,1
224.91735312888,-56.20504703077,5881265333108366976,1.1671,-7.077,-7.221,95,,1.5549,1.122,20.352633,21.364162,19.348036,2.016127,,-37.31776573843,224.91740967729,-56.20501493787,1.19414,1
224.80918417983,-56.21093806462,5881268077568929152,1.1433,-5.66,-5.959,95,,1.3438,1.017,19.335445,20.5412,18.082136,2.459065,,-37.34460596196,224.80922941618,-56.21091158081,1.151169,1
224.76027190295,-56.21183429566,5881268111928689920,1.0678,-6.325,-7.21,31,1.516,,0.913,14.339382,14.755199,13.746557,1.008641,-18.49,-37.35510443473,224.76032245096,-56.211802249,1.108251,1
224.77045963745,-56.16901618912,5881268803451834368,1.2736,-7.905,-5.595,31,1.561,,0.952,13.483784,13.764433,12.885742,0.878691,-7.06,-37.31306487167,224.77052274201,-56.1689913206,1.314049,1
224.8069563238,-56.14512728109,5881268872160125696,1.1096,-5.454,-5.638,95,,1.5544,1.018,20.084517,,,,,-37.28351764837,224.80699983566,-56.14510222115,1.132692,1
224.81188219934,-56.15235562706,5881268872161537024,1.1242,-6.348,-5.684,95,,1.3359,1.026,20.233658,21.516895,19.292896,2.223999,,-37.28930275034,224.8119328567,-56.15233036434,1.101882,1
224.81042204765,-56.14715391978,5881268872161550208,1.285,-5.468,-7.092,95,,1.4593,1.063,20.589138,21.362297,19.456669,1.905628,,-37.28472772474,224.81046567362,-56.14712239849,1.293877,1
224.72187951823,-56.10503770608,5881269937323261184,1.2205,-6.329,-6.542,31,1.343,,0.995,17.679844,18.671776,16.650208,2.021568,,-37.26286802371,224.72192996173,-56.10500863044,1.249522,1
225.01580802589,-56.23162576234,5881270143472854912,1.3462,-9.046,-4.717,95,,1.2754,1.039,19.681683,20.51721,18.265425,2.251785,,-37.32325107088,225.01588035869,-56.23160479826,1.329522,1
225.08905344243,-56.14387270435,5881270899396311552,1.1034,-5.655,-6.739,31,1.486,,0.94,15.487952,15.975637,14.833702,1.141934,,-37.22675817463,225.08909855312,-56.14384275348,1.144372,1
