RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,aux,pert_class,BPmag-RPmag,min,max,std,avg,mode,median,Q1,Q3,excl
122.65833920471,-12.84542222028,5727489556668849280,0.0119,0.0094,0.729,0.0173,2.404,-2.318,0.019,-0.638,0.014,31,1.703,,0.889,11.840017,11.902078,11.720493,0.181584,30.33,-32.03820222948,122.65834977226,-12.84541938685,0.7860309999999999,0.019045012024572847,1,0.1815850000000001,0.9874279499053955,0.9996373653411865,0.002385225147008896,0.998786211013794,0.9800000190734863,0.9996373653411865,0.9994089603424072,0.9996373653411865,0.0
122.66223208294,-12.84045448211,5727489560970192768,0.0222,0.0163,0.749,0.0303,2.272,-2.186,0.035,-0.619,0.024,31,1.55,,1.031,15.280022,15.621078,14.77648,0.844598,,-32.03243529276,122.66224204787,-12.84045173288,0.791435,0.012767875779365135,1,0.8445980000000013,0.995423436164856,0.9998369812965393,0.0006253853207454085,0.9993947148323059,0.9800000190734863,0.999660074710846,0.9991828799247742,0.9998369812965393,0.0
122.64255902628,-12.84157218826,5727489595329939200,0.039,0.0317,0.8541,0.0545,2.247,-2.139,0.06,-0.691,0.047,31,1.481,,1.003,16.608486,17.109959,15.95326,1.156698,,-32.03837264361,122.64256877458,-12.84156911667,0.885749,0.02808671816361095,1,1.1566989999999997,0.9978479743003845,0.9992114305496216,0.00013985704572405666,0.9991703629493713,0.9800000190734863,0.9992114305496216,0.9992114305496216,0.9992114305496216,0.0
122.64352769068,-12.84406704172,5727489595329939712,0.0186,0.0146,0.8074,0.0261,2.318,-2.295,0.029,-0.329,0.021,31,1.555,,1.146,14.879286,15.204251,14.380742,0.823509,,-32.04054720315,122.64353815211,-12.84406557745,0.849651,0.028889196665598492,1,0.8235089999999996,0.9991657733917236,0.9991657733917236,1.1102230246251565e-16,0.9991657733917236,0.9800000190734863,0.9991657733917236,0.9991657733917236,0.9991657733917236,0.0
122.64048711503,-12.85076351553,5727489595329944320,0.0123,0.0094,0.7687,0.0167,2.43,-2.378,0.019,-0.501,0.014,31,1.602,,0.983,13.979687,14.21545,13.596767,0.618683,,-32.04777597155,122.64049795551,-12.85076128978,0.810992,0.03988052904753707,1,0.6186830000000008,0.9953481554985046,0.9984108209609985,0.00028388292412273586,0.9981972575187683,0.9800000190734863,0.998288094997406,0.998104989528656,0.9984108209609985,0.0
122.70351295375,-12.84137934335,5727489698409437312,0.0199,0.015,0.7141,0.0275,2.457,-2.378,0.032,-0.619,0.023,31,1.708,,1.111,11.590334,11.648871,11.480799,0.168073,28.09,-32.02313267957,122.70352379246,-12.84137659014,0.7681969999999999,0.0749744514848461,1,0.16807200000000044,0.967275857925415,0.9943946003913879,0.0020414795726537704,0.9939990043640137,0.9800000190734863,0.9943946003913879,0.9943946003913879,0.9943946003913879,0.0
122.67793764269,-12.84796041431,5727489728469965312,0.0135,0.0101,0.7407,0.0186,2.511,-2.439,0.021,-0.598,0.015,31,1.635,,1.21,12.425448,12.598276,12.124266,0.47401,,-32.03581797059,122.67794875972,-12.84795775615,0.774382,0.039887636394766744,1,0.4740099999999998,0.9711819887161255,0.9984102249145508,0.002003953093662858,0.9979705214500427,0.9800000190734863,0.9984102249145508,0.998143196105957,0.9984102249145508,0.0
122.69004913767,-12.84613081379,5727489732768872448,0.0453,0.037,0.6706,0.0645,2.459,-2.38,0.075,-0.617,0.059,31,1.474,,0.969,16.815096,17.345104,16.136406,1.208698,,-32.03105606356,122.69005998679,-12.84612806965,0.701624,0.05586632949808347,1,1.2086979999999983,0.9959730505943298,0.9968838095664978,0.0001265869796043262,0.9968175888061523,0.9800000190734863,0.9968838095664978,0.996793806552887,0.9968838095664978,0.0
122.69526003137,-12.83760538177,5727489767128606976,0.0109,0.0089,0.7585,0.0161,2.428,-2.369,0.017,-0.528,0.013,31,1.646,,1.126,13.188643,13.348191,12.918285,0.429906,,-32.02152141313,122.69527083161,-12.83760303364,0.800948,0.060845659510199226,1,0.4299060000000008,0.8919869661331177,0.9963046312332153,0.004379318095743656,0.995496392250061,0.9800000190734863,0.9960148930549622,0.9957426190376282,0.9961780309677124,0.0
122.72344989198,-12.83296012603,5727489801488329088,0.0272,0.0233,0.7757,0.0384,2.132,-2.003,0.044,-0.731,0.037,31,1.513,,0.926,15.634591,16.057154,15.051351,1.005803,,-32.01006011641,122.72345902156,-12.83295687657,0.81797,0.10637234607213483,1,1.0058030000000002,0.9870414733886719,0.9887486696243286,0.00016670511104166508,0.9887216091156006,0.9800000190734863,0.9887486696243286,0.9887486696243286,0.9887486696243286,0.0
