RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
121.3099468755,-11.40920227707,3037727804642682240,0.1793,0.1219,0.8748,0.3124,2.753,-2.75,0.277,-0.118,0.184,95,,1.4946,0.979,19.324432,20.139114,18.535315,1.6038,,-30.9723295581,121.3099593462,-11.40920175478,0.889313
121.38958891268,-11.37523957858,3037728182599868672,0.1088,0.082,0.7141,0.1771,2.23,-2.223,0.169,-0.177,0.121,31,1.389,,1.013,18.677864,19.389132,17.851767,1.537365,,-30.92053165169,121.38959899095,-11.37523879188,0.7366429999999999
121.43269708844,-11.35969528762,3037729664368844160,0.3302,0.2295,0.8367,0.5946,4.064,-4.053,0.53,0.298,0.357,95,,1.5296,1.023,20.079779,20.624172,19.465374,1.158798,,-30.89523630734,121.43271546382,-11.35969661235,0.853674
121.43508409802,-11.34187083892,3037729836167273856,0.0622,0.0471,0.8096,0.1096,3.993,-3.902,0.106,-0.847,0.069,31,1.462,,0.997,17.849504,18.404657,17.171085,1.233572,,-30.87737473494,121.43510178585,-11.34186707583,0.836792
121.40633791424,-11.33100621807,3037730007961057792,0.1914,0.1277,0.6816,0.3384,2.442,-2.267,0.298,0.908,0.2,95,,1.4783,1.035,19.40564,20.044546,18.661394,1.383152,,-30.87364179705,121.40634819078,-11.33101025367,0.694642
121.42965667845,-11.31528765858,3037730072385574400,1.4836,1.2791,0.843,1.3248,2.357,-2.079,1.998,1.111,1.748,31,1.509,,0.968,20.71619,20.758871,20.183367,0.575504,,-30.85286551857,121.42966610192,-11.31529259626,0.8540719999999999
121.13359487697,-11.50053382804,3037731549853990016,0.523,0.3969,0.8519,0.7918,3.034,-2.842,0.913,1.063,0.657,95,,1.468,0.999,20.475466,20.788414,19.858328,0.930086,,-31.1025694714,121.13360776563,-11.50053855249,0.862126
121.19933210772,-11.47183770127,3037732992963058432,0.1497,0.115,0.7986,0.2517,2.657,-2.653,0.233,-0.15,0.177,95,,1.4252,1.021,18.992046,19.743097,18.224957,1.518141,,-31.05923002051,121.19934413998,-11.47183703338,0.816931
121.23406579966,-11.43679045055,3037733547016422144,0.5581,0.4243,0.7038,1.0669,3.892,-3.892,0.946,0.01,0.693,95,,1.3539,1.081,20.54502,20.926758,19.572588,1.35417,,-31.01702162807,121.23408344701,-11.43679049341,0.691707
121.22910364486,-11.41476415618,3037733787534582016,0.3439,0.2507,0.7986,0.5937,2.295,-2.249,0.521,0.456,0.38,95,,1.2698,1.027,20.085867,20.88276,19.215275,1.667484,,-30.99681293386,121.22911384148,-11.41476618371,0.764586
121.22081125247,-11.412979815,3037733856256801664,0.067,0.051,0.774,0.1065,2.938,-2.937,0.099,-0.079,0.075,31,1.416,,0.997,17.772846,18.470707,17.004349,1.466358,,-30.99703636502,121.22082457082,-11.41297946219,0.8013520000000001
121.35420523691,-11.32656079432,3037740315882667392,0.1334,0.0936,0.7048,0.2293,2.83,-2.634,0.214,1.035,0.143,31,1.454,,1.063,18.964594,19.479904,18.278357,1.201548,,-30.88166403897,121.35421717474,-11.32656539347,0.725934
