RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
120.90402380025,-11.80451797705,3037685851404467840,0.089,0.0708,0.6811,0.1437,4.102,-4.06,0.139,0.586,0.107,31,1.413,,0.933,18.49499,19.177916,17.678867,1.499048,,-31.45160641231,120.90404223533,-11.80452058325,0.704673,0
121.13541360597,-11.83951011707,3037686882193530368,0.2659,0.213,0.8906,0.434,3.13,-3.014,0.395,0.842,0.337,95,,1.38,1.007,19.864704,20.70806,19.184551,1.523508,,-31.43115798635,121.13542729318,-11.83951385968,0.8842549999999999,0
121.12839902676,-11.81314503632,3037687195729160448,0.4668,0.4091,0.8073,0.8527,1.16,-0.891,0.742,0.742,0.643,95,,1.4731,1.053,20.469784,21.053858,19.685694,1.368164,,-31.40722450357,121.12840307313,-11.81314833603,0.818375,0
121.14072530463,-11.79176398384,3037687603748102784,1.11,0.8679,0.6939,1.1434,1.028,-1.023,1.403,0.098,1.25,95,,1.5709,0.951,20.626682,21.221308,19.988747,1.232561,,-31.3835661836,121.1407299493,-11.79176442092,0.724772,0
121.12514715398,-11.79785639973,3037687642405758720,0.587,0.4851,0.8285,0.7965,2.966,-1.733,0.796,-2.407,0.698,95,,1.3701,0.978,20.517447,21.187773,19.761738,1.426035,,-31.39315295957,121.12515502192,-11.79784570364,0.819653,0
121.06978746302,-11.81390822197,3037687951642575488,0.2392,0.3118,0.8335,0.3251,2.204,-1.84,0.296,1.213,0.379,95,,1.4453,1.056,19.071135,,,,,-31.42177704141,121.06979581841,-11.81391361355,0.850156,0
121.13528755785,-11.77257770779,3037688531461073408,0.0703,0.0558,0.8272,0.1108,2.101,-2.092,0.11,0.196,0.087,31,1.376,,0.982,17.930393,18.747263,17.058247,1.689016,,-31.3662274837,121.13529705534,-11.7725785788,0.854041,0
121.21801084648,-11.74651141796,3037689184296145792,0.0966,0.0794,0.6686,0.1554,1.351,-1.098,0.15,-0.787,0.122,31,1.348,,0.981,18.439907,19.38895,17.513565,1.875385,,-31.32140360223,121.2180158313,-11.74650791807,0.692893,0
121.16686427757,-11.76104343535,3037689291672110464,0.2735,0.2245,0.7708,0.4094,1.648,-1.511,0.428,0.657,0.341,95,,1.5063,1.379,19.48112,19.833921,18.53192,1.302002,,-31.34758414382,121.16687113766,-11.76104635729,0.785161,0
121.26238154809,-11.73313489809,3037689630972765568,0.338,0.2736,0.7992,0.5059,1.11,-0.442,0.532,1.018,0.43,95,,1.5233,0.992,20.106285,20.754747,19.491398,1.263349,,-31.29793317734,121.26238355277,-11.73313942381,0.81543,0
121.264820431,-11.71757122326,3037689734052002944,0.0855,0.0712,0.802,0.1344,0.998,-0.96,0.133,-0.273,0.109,31,1.362,,0.944,18.120073,19.079464,17.237326,1.842138,,-31.28225358499,121.26482478675,-11.71757000867,0.828003,0
121.22504054307,-11.70216069467,3037689978870063616,0.1478,0.1189,0.6982,0.2339,2.631,-2.368,0.226,-1.145,0.179,31,1.424,,1.03,18.942438,19.589743,18.205519,1.384224,,-31.2767025618,121.22505129179,-11.70215560472,0.719434,0
121.15561940987,-11.72769483195,3037690150665550720,0.3221,0.2601,0.7483,0.5115,2.151,-2.03,0.525,0.711,0.414,31,1.472,,1.092,20.09242,20.51815,19.459354,1.058796,,-31.3178712269,121.15562862528,-11.72769799095,0.757622,0
121.12949818266,-11.71563876404,3037690386887034880,0.1416,0.1163,0.6898,0.2184,1.529,-1.528,0.22,0.037,0.183,31,1.501,,1.026,19.055468,19.507135,18.497663,1.009472,,-31.31232864499,121.129505119,-11.71563892872,0.7103889999999999,0
121.19385539528,-11.70182314165,3037690666062981504,0.344,0.2671,0.7746,0.5964,3.004,-2.619,0.581,-1.471,0.435,95,,1.2608,0.99,20.200611,20.93833,19.296503,1.641827,,-31.28373966171,121.19386728296,-11.70181660234,0.737393,0
121.24157300198,-11.68068103355,3037690764844212992,0.3694,0.2973,0.723,0.5124,1.896,-1.344,0.55,-1.337,0.448,95,,1.4536,1.057,19.992222,21.013285,19.050657,1.962627,,-31.25195111864,121.24157910299,-11.6806750933,0.726053,0
121.03195372639,-11.77821930069,3037691181458017408,0.4492,0.3737,0.7073,0.7775,0.817,-0.367,0.692,0.73,0.52,31,1.485,,0.957,20.458544,20.897892,19.93878,0.959112,,-31.39603782961,121.03195539421,-11.77822254474,0.7170890000000001,0
121.08582147534,-11.73575488044,3037691726916801408,0.2566,0.2054,0.822,0.3813,2.613,-1.963,0.377,-1.725,0.309,95,,1.311,1.101,19.722565,20.512333,18.799843,1.71249,,-31.34214259697,121.08583038668,-11.7357472151,0.810835,0
121.07439531449,-11.73140405185,3037691795636285056,0.1766,0.145,0.7353,0.2597,3.622,-3.365,0.259,1.339,0.212,31,1.449,,1.04,19.298147,19.882687,18.64827,1.234417,,-31.34060917405,121.07441058879,-11.73141000434,0.7525029999999999,0
121.00461176321,-11.69158675003,3037693066947654656,0.1546,0.1216,0.803,0.2337,3.431,-3.221,0.242,1.182,0.179,31,1.389,,1.03,19.075739,19.780361,18.28825,1.492111,,-31.31836411634,121.00462638322,-11.69159200276,0.822654,0
121.02518799549,-11.67518863593,3037693208682456576,0.0412,0.0276,0.7208,0.0636,1.748,-1.032,0.07,1.411,0.042,95,,1.5328,1.069,16.604458,16.595282,15.572995,1.022286,,-31.29761105489,121.0251926776,-11.67519490664,0.745901,0
121.007463248,-11.65979628211,3037693277405009792,0.1227,0.0957,0.8451,0.19,2.006,-1.98,0.197,-0.324,0.144,31,1.478,,0.997,18.795395,19.332928,18.189022,1.143906,,-31.2868316586,121.00747223171,-11.6597948404,0.8673029999999999,0
121.11811853656,-11.64934573843,3037693857224988288,0.3166,0.2529,0.7517,0.4403,3.938,-3.813,0.483,-0.984,0.387,95,,1.3582,1.08,19.867455,20.6704,19.023565,1.646835,,-31.25066371451,121.11813583985,-11.64934136484,0.741795,0
121.15974771069,-11.67113214612,3037693891580424064,0.1244,0.0988,0.778,0.1892,2.621,-2.547,0.186,0.619,0.15,31,1.435,,1.033,18.726582,19.274082,17.971521,1.302561,,-31.26199984744,121.15975927033,-11.67113489861,0.800394,0
121.18403641401,-11.64193597602,3037694063379165824,0.1188,0.0925,0.6749,0.2051,0.879,-0.853,0.19,-0.213,0.14,31,1.455,,1.26,18.35968,18.913803,17.646069,1.267734,,-31.22793432346,121.1840402828,-11.64193502878,0.6993170000000001,0
121.172962653,-11.63555469093,3037694132098654976,0.2678,0.198,0.7681,0.4077,2.38,-2.222,0.426,0.853,0.305,95,,1.3834,1.055,19.67567,20.483177,18.812693,1.670484,,-31.22435278875,121.17297273608,-11.635558484,0.7679050000000001,0
121.13796223201,-11.63079616297,3037694273835242624,0.4688,0.3852,0.7242,0.7646,1.476,-1.456,0.754,0.246,0.61,95,,1.4227,1.023,20.449211,21.13773,19.541172,1.596558,,-31.22798428427,121.13796883707,-11.63079725791,0.725725,0
121.0946812505,-11.65613897308,3037694578775213568,0.2335,0.1795,0.8579,0.3895,0.497,-0.432,0.401,0.246,0.284,31,1.548,,1.016,19.71151,20.052038,19.244387,0.807651,,-31.2627758547,121.0946832112,-11.6561400684,0.873472,0
121.04724368803,-11.65830526018,3037694716214163712,0.3676,0.2694,0.8302,0.549,3.92,-3.888,0.568,-0.501,0.42,95,,1.3318,0.973,20.240522,20.913122,19.236279,1.676844,,-31.27603738796,121.04726133141,-11.65830303226,0.811211,0
121.0464617199,-11.64583812945,3037694716214185472,0.3027,0.2421,0.7507,0.4855,1.568,-1.496,0.55,0.471,0.404,31,1.521,,1.032,20.07113,20.421217,19.673603,0.747614,,-31.26411850298,121.04646850636,-11.64584022283,0.762582,0
121.058359377,-11.62183877069,3037694922372661376,0.1256,0.0934,0.6965,0.2012,1.704,-1.514,0.201,-0.782,0.146,31,1.455,,1.009,18.8384,19.407295,18.20166,1.205635,,-31.23802376173,121.05836624763,-11.62183529336,0.718373,0
121.06074215372,-11.62096097265,3037694922372661760,0.266,0.1994,0.7929,0.3975,2.825,-2.352,0.402,-1.564,0.301,95,,1.2695,1.037,19.70933,20.653727,18.852522,1.801205,,-31.2366114308,121.06075282672,-11.6209540226,0.7765930000000001,0
121.12592947861,-11.58358448053,3037695442071042048,0.1735,0.1313,0.7179,0.2668,3.969,-3.939,0.27,-0.483,0.203,95,,1.5751,1.046,19.173063,19.624222,18.598173,1.026049,,-31.18499174135,121.12594735068,-11.58358233248,0.734397,0
121.09983998226,-11.58793161681,3037695476428216064,0.0379,0.0286,0.7066,0.0599,3.626,-3.35,0.058,-1.386,0.044,31,1.471,,1.011,16.741312,17.261736,16.07258,1.189156,,-31.19535239468,121.09985518255,-11.58792545825,0.737851,0
121.05338345393,-11.61647260508,3037706677702945408,0.0245,0.0188,0.7129,0.0388,0.878,-0.794,0.039,0.375,0.029,31,1.531,,0.958,16.001781,16.382015,15.456133,0.925882,,-31.23398413615,121.05338705465,-11.61647427266,0.750922,0
121.26821793444,-11.68519278437,3037713407911791744,0.3763,0.2981,0.7657,0.583,3.644,-3.623,0.621,-0.394,0.489,95,,1.4218,1.059,20.132992,21.05012,19.231287,1.818832,,-31.25003023251,121.26823437536,-11.6851910321,0.7642140000000001,0
121.32741198488,-11.65362172082,3037713785868965760,0.1081,0.0853,0.8692,0.1719,1.806,-1.678,0.157,-0.667,0.127,95,,1.3529,1.008,18.624666,19.4972,17.74039,1.756809,,-31.20538614146,121.32741960141,-11.65361875814,0.894056,0
121.35002733358,-11.65786039834,3037713824526639616,0.4181,0.3453,0.7481,0.6378,2.906,-2.901,0.666,0.175,0.52,95,,1.2926,1.033,20.26429,21.102318,19.27295,1.829369,,-31.20414162671,121.35004049926,-11.65786117445,0.719556,0
121.23759253008,-11.66748875352,3037714301265017344,0.1371,0.1146,0.7403,0.2196,1.782,-1.656,0.216,-0.658,0.178,31,1.492,,1.023,18.941053,19.395557,18.313808,1.081749,,-31.24008924394,121.23760004744,-11.66748582878,0.761747,0
121.26329486706,-11.63963716391,3037714477364410624,0.0582,0.049,0.7918,0.0901,1.78,-1.757,0.087,0.285,0.073,31,1.387,,1.195,17.244413,18.021803,16.353176,1.668627,,-31.20698629165,121.26330284118,-11.6396384284,0.8216509999999999,0
121.26823119579,-11.59920465851,3037715164559163520,0.0129,0.0104,0.7856,0.0208,2.375,-2.213,0.019,-0.862,0.015,31,1.589,,0.98,14.309424,14.566812,13.895584,0.671228,42.05,-31.16658194863,121.26824123699,-11.59920082525,0.828058,0
121.34972222444,-11.61354375663,3037715606935172864,0.2589,0.2072,0.7602,0.4306,2.422,-2.263,0.394,0.862,0.309,95,,1.5033,1.034,19.770346,20.623432,18.987848,1.635584,,-31.16121340129,121.34973249363,-11.61354758871,0.772902,0
121.37202101524,-11.56898928725,3037716607668115072,0.2054,0.1532,0.7294,0.3783,2.676,-2.675,0.344,0.068,0.235,31,1.447,,0.987,19.62504,20.217619,19.02544,1.192179,,-31.11269853538,121.37203314922,-11.56898958893,0.74234,0
121.34247474674,-11.54913641655,3037716882546157440,0.0922,0.0715,0.6702,0.1518,0.784,-0.784,0.147,-0.015,0.109,31,1.37,,1.037,18.200167,19.036098,17.31797,1.718128,,-31.1004326355,121.34247830137,-11.54913635013,0.695589,0
121.31257633181,-11.5484486052,3037716912605352576,0.3244,0.2397,0.9042,0.5974,0.599,-0.446,0.55,0.4,0.375,95,,1.3655,0.951,19.958715,20.549377,19.363398,1.18598,,-31.10684069069,121.31257835379,-11.54845038505,0.892495,0
121.362996463,-11.5448227121,3037717054342032640,0.347,0.2582,0.8815,0.6494,1.451,-1.066,0.581,0.984,0.403,95,,1.3803,1.03,20.092834,20.800188,19.22197,1.578218,,-31.09138718556,121.36300130003,-11.5448270847,0.871945,0
121.33923208745,-11.52965657688,3037717324922257280,0.1076,0.0879,0.8034,0.1671,3.281,-3.084,0.177,-1.12,0.13,31,1.333,,0.996,18.441118,19.424585,17.450182,1.974403,,-31.08229748005,121.33924607628,-11.52965160099,0.82795,0
