GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Cluster,Pmemb
5727519930679067648,122.56728511255,-12.50049509779,0.7124,-2.219,-0.522,18.026318,18.855494,17.18801,NGC_2539,0.84
5727520072417138048,122.60390585599,-12.48355427531,0.7694,-2.415,-0.814,14.866425,15.144746,14.3713045,NGC_2539,1.0
5727514742358274048,122.6593097162,-12.60363404349,0.806,-2.236,-0.76,17.973345,18.807043,17.11695,NGC_2539,0.82
5727514609215754752,122.70078729678,-12.59706582949,0.9628,-2.263,-0.832,19.760057,21.18583,18.697763,NGC_2539,0.08
5727514540499899776,122.7210183644,-12.60641722995,0.8321,-2.002,-0.546,18.230581,19.073788,17.357384,NGC_2539,0.58
5727514128182472192,122.50216719347,-12.53029780358,0.7656,-2.266,-0.571,14.6644,14.957249,14.2044525,NGC_2539,1.0
5727510554769742464,122.48265605931,-12.66503339586,0.7492,-2.271,-0.542,12.752722,12.880049,12.531586,NGC_2539,1.0
5726827994266771200,123.41576097505,-12.66135848574,0.5158,-2.221,-0.239,18.471527,19.354408,17.571817,NGC_2539,0.06
5727510829647654400,122.45325092974,-12.63629909708,0.7426,-2.304,-0.603,15.963386,16.404291,15.3527775,NGC_2539,1.0
5727510864007384192,122.46435922571,-12.62766822301,0.985,-2.155,-0.575,18.990648,20.132599,18.011219,NGC_2539,0.41
5727511104526455040,122.39022782872,-12.66232280689,0.8526,-2.276,-0.597,16.672295,17.186026,16.009245,NGC_2539,1.0
5727511272024601344,122.42524747499,-12.63963162962,0.7304,-2.405,-0.565,15.7325945,16.12468,15.177967,NGC_2539,1.0
5727511310684024320,122.39561837763,-12.63053897825,0.7687,-1.988,-0.577,15.056926,15.397858,14.542417,NGC_2539,1.0
5727511963519022336,122.42684151774,-12.59909769462,0.8298,-2.323,-0.566,15.206313,15.613108,14.634347,NGC_2539,1.0
5727512100957958656,122.44194217208,-12.57501931449,0.9036,-2.318,-0.638,17.279787,17.922459,16.529528,NGC_2539,0.98
5727512204037145344,122.51889006296,-12.61739058659,0.7337,-2.287,-0.464,13.73421,13.949069,13.37894,NGC_2539,1.0
5727512371535050496,122.55145847932,-12.58967421486,0.7806,-2.142,-0.619,13.041046,13.195637,12.78026,NGC_2539,1.0
5727512375835816704,122.5496044164,-12.60442545637,0.5509,-2.686,-0.341,19.171047,20.662645,18.112299,NGC_2539,0.18
5727510211172387072,122.43915195039,-12.67635401279,0.7609,-2.359,-0.639,15.152728,15.482692,14.657945,NGC_2539,1.0
5727512478915057536,122.50508942181,-12.60914274318,0.8046,-2.197,-0.642,15.139619,15.46049,14.654263,NGC_2539,1.0
5727512921292282368,122.59061765469,-12.55830127106,0.5797,-2.254,-0.473,17.827152,18.58114,16.997355,NGC_2539,0.59
5727513024371456512,122.53751854936,-12.57169727124,0.7621,-2.583,-0.511,17.997358,18.996525,17.020985,NGC_2539,0.78
